bet_band,Season,Week,bets,wins,hit_rate,roi,avg_market_prob,avg_edge_governed,avg_close_edge,avg_clv,beat_close_rate,avg_confidence_score
Balanced,2022,15,1,0,0.0,-1.0,0.5238095238095238,0.0505450438047294,0.0505450438047294,0.0505450438047294,1.0,0.05054504380472939
Balanced,2022,18,1,1,1.0,0.9090909090909092,0.5238095238095238,0.0322568324727678,0.0322568324727678,0.0322568324727678,1.0,0.032256832472767796
Balanced,2023,1,1,1,1.0,1.0,0.5,0.0281778272335047,0.0281778272335047,0.0281778272335047,1.0,0.0281778272335047
Balanced,2023,2,1,0,0.0,-1.0,0.5260663507109005,0.01757192920701,0.01757192920701,0.01757192920701,1.0,0.01757192920701
Balanced,2023,3,2,1,0.5,0.0,0.5119047619047619,0.0331426861862195,0.0331426861862195,0.0331426861862195,1.0,0.0331426861862195
Balanced,2023,4,1,1,1.0,0.6711409395973155,0.5983935742971888,0.0145501562652229,0.0145501562652229,0.0145501562652229,1.0,0.014550156265222899
Balanced,2023,5,1,0,0.0,-1.0,0.5555555555555556,0.0124128821966094,0.0124128821966094,0.0124128821966094,1.0,0.0124128821966094
Balanced,2023,8,1,0,0.0,-1.0,0.4716981132075472,0.0306459982868644,0.0306459982868644,0.0306459982868644,1.0,0.0306459982868644
Balanced,2023,12,1,0,0.0,-1.0,0.4878048780487805,0.0480561061192996,0.0480561061192996,0.0480561061192996,1.0,0.0480561061192996
Balanced,2023,13,1,0,0.0,-1.0,0.4672897196261682,0.051740481919391,0.051740481919391,0.051740481919391,1.0,0.05174048191939099
Balanced,2023,16,1,1,1.0,0.966183574879227,0.5085995085995086,0.0498520321325058,0.0498520321325058,0.0498520321325058,1.0,0.049852032132505796
Balanced,2023,18,1,1,1.0,1.03,0.4926108374384236,0.0418256448978051,0.0418256448978051,0.0418256448978051,1.0,0.0418256448978051
Balanced,2024,1,1,0,0.0,-1.0,0.504950495049505,0.0410752185583436,0.0410752185583436,0.0410752185583436,1.0,0.0410752185583436
Balanced,2024,2,2,1,0.5,-0.09514170040485831,0.5381911153723234,0.028837308337034,0.028837308337034,0.028837308337034,1.0,0.028837308337033997
Balanced,2024,5,1,1,1.0,0.8333333333333334,0.5454545454545454,0.0323276650554166,0.0323276650554166,0.0323276650554166,1.0,0.03232766505541659
Balanced,2024,7,1,1,1.0,1.05,0.4878048780487805,0.0322682537618189,0.0322682537618189,0.0322682537618189,1.0,0.0322682537618189
Balanced,2024,9,2,2,1.0,0.7224532224532225,0.5809957924263675,0.02628079161370435,0.02628079161370435,0.02628079161370435,1.0,0.02628079161370435
Balanced,2024,11,1,1,1.0,0.7692307692307693,0.5652173913043478,0.0477022230631593,0.0477022230631593,0.0477022230631593,1.0,0.0477022230631593
Balanced,2024,22,1,1,1.0,0.9803921568627452,0.504950495049505,0.0370629209179296,0.0370629209179296,0.0370629209179296,1.0,0.03706292091792959
Balanced,2025,1,3,2,0.6666666666666666,0.19375,0.5695985996737877,0.036850365592934,0.036850365592934,0.036850365592934,1.0,0.036850365592934
