game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob,implied_prob,edge,actual_win,profit,books_used
2025_2_Commanders_Packers,2025,2,2025-09-11,Commanders,Packers,away,150.0,0.3812928282143167,0.4,-0.01870717178568332,0,-1.0,11
2024_6_Colts_Titans,2024,6,2024-10-13,Colts,Titans,home,-140.5,0.565277403071054,0.5841995841995842,-0.01892218112853017,0,-1.0,10
2024_6_Commanders_Ravens,2024,6,2024-10-13,Commanders,Ravens,home,-300.0,0.7305337498693492,0.75,-0.019466250130650842,1,0.3333333333333333,10
2024_15_Rams_49ers,2024,15,2024-12-12,Rams,49ers,home,-149.0,0.5787581393801016,0.5983935742971888,-0.01963543491708719,0,-1.0,10
2024_6_Colts_Titans,2024,6,2024-10-13,Colts,Titans,away,120.0,0.4347225969289466,0.45454545454545453,-0.019822857616507927,1,1.2,10
2025_17_Rams_Falcons,2025,17,2025-12-29,Rams,Falcons,away,-375.0,0.7694507679495706,0.7894736842105263,-0.02002291626095576,0,-1.0,11
2024_6_Texans_Patriots,2024,6,2024-10-13,Texans,Patriots,home,245.0,0.2697874663051889,0.2898550724637681,-0.02006760615857922,0,-1.0,10
2024_15_Patriots_Cardinals,2024,15,2024-12-15,Patriots,Cardinals,home,-275.0,0.7131755093623776,0.7333333333333333,-0.02015782397095567,1,0.36363636363636365,10
2024_2_Bills_Dolphins,2024,2,2024-09-12,Bills,Dolphins,away,122.0,0.430104127024137,0.45045045045045046,-0.020346323426313484,1,1.22,10
2024_15_Patriots_Cardinals,2024,15,2024-12-15,Patriots,Cardinals,away,225.5,0.2868244906376225,0.30721966205837176,-0.02039517142074926,0,-1.0,10
2025_8_49ers_Texans,2025,8,2025-10-26,49ers,Texans,away,128.0,0.417805809709082,0.43859649122807015,-0.020790681518988163,0,-1.0,11
2024_18_Vikings_Lions,2024,18,2025-01-05,Vikings,Lions,away,130.0,0.4138372449714583,0.43478260869565216,-0.020945363724193866,0,-1.0,10
2025_8_49ers_Texans,2025,8,2025-10-26,49ers,Texans,home,-152.0,0.582194190290918,0.6031746031746031,-0.02098041288368513,1,0.6578947368421053,11
2024_2_Bills_Dolphins,2024,2,2024-09-12,Bills,Dolphins,home,-144.5,0.5698958729758626,0.591002044989775,-0.021106172013912405,0,-1.0,10
2024_6_Texans_Patriots,2024,6,2024-10-13,Texans,Patriots,away,-302.5,0.7302125336948118,0.7515527950310559,-0.021340261336244115,1,0.3305785123966942,10
2025_2_Commanders_Packers,2025,2,2025-09-11,Commanders,Packers,home,-178.0,0.6187071717856829,0.6402877697841727,-0.02158059799848977,1,0.5617977528089888,11
2024_18_Vikings_Lions,2024,18,2025-01-05,Vikings,Lions,home,-155.0,0.5861627550285411,0.6078431372549019,-0.021680382226360817,1,0.6451612903225806,10
2024_9_Buccaneers_Chiefs,2024,9,2024-11-04,Buccaneers,Chiefs,home,-450.0,0.7950179956038574,0.8181818181818182,-0.02316382257796079,1,0.2222222222222222,10
2024_15_Rams_49ers,2024,15,2024-12-12,Rams,49ers,away,125.0,0.4212418606198978,0.4444444444444444,-0.023202583824546597,1,1.25,10
2025_14_Seahawks_Falcons,2025,14,2025-12-07,Seahawks,Falcons,home,266.0,0.2499880214538255,0.273224043715847,-0.02323602226202151,0,-1.0,11
2024_13_Rams_Saints,2024,13,2024-12-01,Rams,Saints,away,-150.0,0.5755758001398849,0.6,-0.024424199860115126,1,0.6666666666666666,10
2024_9_Jaguars_Eagles,2024,9,2024-11-03,Jaguars,Eagles,home,-350.0,0.7532346628527332,0.7777777777777778,-0.024543114925044573,1,0.2857142857142857,10
2024_1_Cowboys_Browns,2024,1,2024-09-08,Cowboys,Browns,home,-130.5,0.5413988578570812,0.5661605206073753,-0.024761662750294122,0,-1.0,10
2024_8_Cardinals_Dolphins,2024,8,2024-10-27,Cardinals,Dolphins,home,-209.0,0.6512509573053682,0.6763754045307443,-0.0251244472253761,0,-1.0,10
2024_10_Dolphins_Rams,2024,10,2024-11-11,Dolphins,Rams,away,125.0,0.4191855538288446,0.4444444444444444,-0.025258890615599827,1,1.25,10
2025_14_Seahawks_Falcons,2025,14,2025-12-07,Seahawks,Falcons,away,-345.0,0.7500119785461753,0.7752808988764045,-0.025268920330229205,0,-1.0,11
2024_4_Bills_Ravens,2024,4,2024-09-29,Bills,Ravens,away,120.0,0.4287120852577161,0.45454545454545453,-0.02583336928773844,0,-1.0,10
2025_17_Rams_Falcons,2025,17,2025-12-29,Rams,Falcons,home,290.0,0.230549232050429,0.2564102564102564,-0.0258610243598274,0,-1.0,11
2025_11_Seahawks_Rams,2025,11,2025-11-16,Seahawks,Rams,away,145.0,0.3821173175909085,0.40816326530612246,-0.026045947715213957,0,-1.0,11
2024_18_Chargers_Raiders,2024,18,2025-01-05,Chargers,Raiders,home,260.0,0.2514673087603695,0.2777777777777778,-0.0263104690174083,0,-1.0,10
2024_16_Cardinals_Panthers,2024,16,2024-12-22,Cardinals,Panthers,away,-240.0,0.6792733199780603,0.7058823529411765,-0.02660903296311623,0,-1.0,10
2024_9_Raiders_Bengals,2024,9,2024-11-03,Raiders,Bengals,away,290.0,0.2296245010675568,0.2564102564102564,-0.026785755342699585,0,-1.0,10
2025_5_Buccaneers_Seahawks,2025,5,2025-10-05,Buccaneers,Seahawks,home,-190.0,0.6281228687598278,0.6551724137931034,-0.027049545033275613,0,-1.0,11
2025_12_Panthers_49ers,2025,12,2025-11-24,Panthers,49ers,home,-400.0,0.7729117035865675,0.8,-0.027088296413432578,0,-1.0,11
2024_19_Broncos_Bills,2024,19,2025-01-12,Broncos,Bills,home,-452.5,0.7918464882703582,0.8190045248868778,-0.02715803661651961,1,0.22099447513812154,10
2024_3_Chargers_Steelers,2024,3,2024-09-22,Chargers,Steelers,away,123.5,0.4198438090067043,0.44742729306487694,-0.027583484058172625,0,-1.0,10
2024_7_Texans_Packers,2024,7,2024-10-20,Texans,Packers,home,-170.0,0.60171166377033,0.6296296296296297,-0.02791796585929962,1,0.5882352941176471,10
2024_17_Cowboys_Eagles,2024,17,2024-12-29,Cowboys,Eagles,home,-367.5,0.7580547874893159,0.786096256684492,-0.02804146919517614,1,0.272108843537415,10
2025_13_Saints_Dolphins,2025,13,2025-11-30,Saints,Dolphins,away,210.0,0.2943480467046194,0.3225806451612903,-0.02823259845667092,0,-1.0,11
2025_11_Packers_Giants,2025,11,2025-11-16,Packers,Giants,home,296.0,0.2241150931919818,0.25252525252525254,-0.028410159333270735,0,-1.0,11
2024_1_Rams_Lions,2024,1,2024-09-08,Rams,Lions,away,182.5,0.3255069726977597,0.35398230088495575,-0.02847532818719606,0,-1.0,10
2024_3_Panthers_Raiders,2024,3,2024-09-22,Panthers,Raiders,away,202.5,0.3020606349550269,0.3305785123966942,-0.02851787744166734,1,2.025,10
