subset,bets,wins,win_rate,profit_units,roi,avg_edge,avg_edge_raw,avg_model_prob_raw,avg_model_prob_adj,avg_implied_prob,avg_odds,avg_books_used,Season,Week
season_2025_week_5,3,1.0,0.3333333333333333,-1.4974874371859297,-0.4991624790619766,0.07175354631835407,0.11958924386392354,0.7944313100103376,0.746595612464768,0.674842066146414,-208.0,11.0,2025,5
season_2025_week_6,4,1.0,0.25,-2.5,-0.625,0.06755563170207875,0.11259271950346471,0.729187107389336,0.6841500195879502,0.6165943878858713,-167.5,11.0,2025,6
season_2025_week_7,4,3.0,0.75,1.18013468013468,0.29503367003367,0.09035267856951952,0.15058779761586594,0.7160365249222809,0.6558014058759346,0.5654487273064149,-132.0,11.0,2025,7
season_2025_week_8,2,2.0,1.0,1.3208369659982564,0.6604184829991282,0.0820439837662344,0.13673997294372403,0.7390486383453686,0.684352649167879,0.6023086654016445,-151.5,11.0,2025,8
season_2025_week_9,4,4.0,1.0,2.4450155444106936,0.6112538861026734,0.09048793411556508,0.15081322352594187,0.775242747610601,0.7149174582002242,0.6244295240846591,-172.0,11.0,2025,9
season_2025_week_10,1,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0574033965405414,0.095672327567569,0.695672327567569,0.6574033965405415,0.6,-150.0,11.0,2025,10
season_2025_week_11,2,2.0,1.0,0.8771929824561403,0.43859649122807015,0.06328534428032255,0.10547557380053765,0.8031916508269595,0.7610014213067444,0.6977160770264219,-237.5,11.0,2025,11
season_2025_week_12,2,0.0,0.0,-2.0,-1.0,0.08339564843279434,0.1389927473879907,0.7757392596280539,0.7201421606728575,0.6367465122400632,-176.0,11.0,2025,12
season_2025_week_13,3,0.0,0.0,-3.0,-1.0,0.07091462922413667,0.11819104870689452,0.7505487311516267,0.7032723116688689,0.6323576824447321,-172.33333333333334,11.0,2025,13
season_2025_week_14,4,0.0,0.0,-4.0,-1.0,0.08286222827998423,0.1381037137999738,0.7892445689378684,0.7340030834178788,0.6511408551378947,-201.5,11.0,2025,14
season_2025_week_15,2,0.0,0.0,-2.0,-1.0,0.066433031867166,0.1107217197786101,0.7867051566316122,0.7424164687201681,0.675983436853002,-213.0,11.0,2025,15
season_2025_week_16,1,0.0,0.0,-1.0,-1.0,0.0823855418966831,0.1373092364944718,0.7669388661241014,0.7120151715263128,0.6296296296296297,-170.0,11.0,2025,16
season_2025_week_17,1,0.0,0.0,-1.0,-1.0,0.0813445655683841,0.1355742759473067,0.6911298315028623,0.6369001211239397,0.5555555555555556,-125.0,11.0,2025,17
