game_id,Season,Week,game_date,away_team,home_team,book,market,side,odds,pred_home_margin,pred_total,model_prob,implied_prob,edge
2018_2018-12-23_bills_at_patriots,2018,Week 16,2018-12-23,Bills,Patriots,testbook,moneyline,home,-110,11.817059551835406,36.28861021585307,0.9590375631079264,0.5238095238095238,0.4352280392984026
2019_2019-12-15_browns_at_cardinals,2019,Week 15,2019-12-15,Browns,Cardinals,testbook,moneyline,home,-110,14.324250727891863,65.06859479978661,0.9589513996750068,0.5238095238095238,0.4351418758654829
2018_2018-12-16_packers_at_bears,2018,Week 15,2018-12-16,Packers,Bears,testbook,moneyline,home,-110,9.06147084919976,40.93392794071924,0.9585017779448144,0.5238095238095238,0.43469225413529056
2020_2020-12-20_jaguars_at_ravens,2020,Week 15,2020-12-20,Jaguars,Ravens,testbook,moneyline,home,-110,18.900289436200545,55.07630088184756,0.958217852896494,0.5238095238095238,0.43440832908697014
2019_2019-11-03_lions_at_raiders,2019,Week 9,2019-11-03,Lions,Raiders,testbook,moneyline,home,-110,11.123286286288408,55.986964767946205,0.958107342511523,0.5238095238095238,0.4342978187019991
2018_2018-09-16_cardinals_at_rams,2018,Week 2,2018-09-16,Cardinals,Rams,testbook,moneyline,home,-110,25.13116588329524,28.07474540289216,0.9579324845719144,0.5238095238095238,0.43412296076239054
2018_2018-09-30_dolphins_at_patriots,2018,Week 4,2018-09-30,Dolphins,Patriots,testbook,moneyline,home,-110,23.55904787808056,46.39923682783382,0.957136247473954,0.5238095238095238,0.43332672366443015
2019_2019-11-24_raiders_at_jets,2019,Week 12,2019-11-24,Raiders,Jets,testbook,moneyline,home,-110,23.053228141512903,38.31818401764309,0.9569286127041235,0.5238095238095238,0.4331190888945997
2021_2021-10-03_panthers_at_cowboys,2021,Week 4,2021-10-03,Panthers,Cowboys,testbook,moneyline,home,-110,15.153965276210371,63.86821765635465,0.9566249518316592,0.5238095238095238,0.43281542802213535
2019_2019-11-24_dolphins_at_browns,2019,Week 12,2019-11-24,Dolphins,Browns,testbook,moneyline,home,-110,14.397151733767403,66.2315170482682,0.9565979466940248,0.5238095238095238,0.4327884228845009
2017_2017-11-05_chiefs_at_cowboys,2017,Week 9,2017-11-05,Chiefs,Cowboys,testbook,moneyline,home,-110,12.018294999953936,45.95627689995429,0.9565471812977888,0.5238095238095238,0.432737657488265
2019_2019-11-17_bears_at_rams,2019,Week 11,2019-11-17,Bears,Rams,testbook,moneyline,home,-110,12.038473445818076,26.651355853189624,0.9559012720763036,0.5238095238095238,0.43209174826677976
2017_2017-12-03_broncos_at_dolphins,2017,Week 13,2017-12-03,Broncos,Dolphins,testbook,moneyline,home,-110,16.841913015898555,40.703300783459845,0.9558543249593904,0.5238095238095238,0.43204480114986654
2018_2018-10-07_broncos_at_jets,2018,Week 5,2018-10-07,Broncos,Jets,testbook,moneyline,home,-110,15.894315361066225,49.46952395060645,0.955763566495872,0.5238095238095238,0.4319540426863482
2020_2020-09-13_browns_at_ravens,2020,Week 1,2020-09-13,Browns,Ravens,testbook,moneyline,home,-110,18.659446612380865,43.64832220270373,0.9557363525073228,0.5238095238095238,0.43192682869779897
2019_2019-12-15_rams_at_cowboys,2019,Week 15,2019-12-15,Rams,Cowboys,testbook,moneyline,home,-110,17.84970211697774,61.9280496749337,0.9557303464721836,0.5238095238095238,0.43192082266265974
2020_2020-09-20_giants_at_bears,2020,Week 2,2020-09-20,Giants,Bears,testbook,moneyline,home,-110,7.597799114968779,31.934767932935724,0.955700109409231,0.5238095238095238,0.43189058559970717
2017_2017-10-22_ravens_at_vikings,2017,Week 7,2017-10-22,Ravens,Vikings,testbook,moneyline,home,-110,11.291811207682654,39.979340940893216,0.955006924047122,0.5238095238095238,0.4311974002375981
2019_2019-12-22_cowboys_at_eagles,2019,Week 16,2019-12-22,Cowboys,Eagles,testbook,moneyline,home,-110,11.270836730803326,27.18519484768085,0.9541210348344769,0.5238095238095238,0.430311511024953
