game_id,Season,Week,game_date,game_date_str,season_type,week_sort,AwayTeam,HomeTeam,home_team,home_total_plays,home_offensive_plays,home_pass_plays,home_rush_plays,home_sacks,home_punts,home_field_goal_plays,home_turnovers,home_penalties,home_first_downs,home_touchdowns,home_scoring_plays,home_scoring_drives,home_red_zone_plays,home_explosive_passes,home_explosive_runs,home_drive_count,home_pass_rate,home_rush_rate,home_explosive_play_rate,home_scoring_drive_rate,home_home_or_away,away_team,away_total_plays,away_offensive_plays,away_pass_plays,away_rush_plays,away_sacks,away_punts,away_field_goal_plays,away_turnovers,away_penalties,away_first_downs,away_touchdowns,away_scoring_plays,away_scoring_drives,away_red_zone_plays,away_explosive_passes,away_explosive_runs,away_drive_count,away_pass_rate,away_rush_rate,away_explosive_play_rate,away_scoring_drive_rate,away_home_or_away,combined_offensive_plays,combined_total_plays,combined_drive_count,combined_turnovers,combined_penalties,combined_touchdowns,combined_scoring_plays,combined_red_zone_plays,combined_explosive_passes,combined_explosive_runs,combined_explosive_play_rate,combined_scoring_drive_rate,play_volume_diff,pass_rate_diff,rush_rate_diff,turnover_diff
2020_2020-09-20_chiefs_at_chargers,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Chiefs,Chargers,Chargers,100.0,82.0,39.0,43.0,3.0,3.0,2.0,1.0,7.0,0.0,2.0,6.0,1.0,0.0,5.0,2.0,5.0,0.47560975609756095,0.524390243902439,0.08536585365853659,0.2,home,Chiefs,99.0,75.0,53.0,22.0,1.0,5.0,3.0,1.0,11.0,0.0,2.0,5.0,1.0,0.0,2.0,5.0,5.0,0.7066666666666667,0.29333333333333333,0.09333333333333334,0.2,away,157.0,199.0,10.0,2.0,18.0,4.0,11.0,0.0,7.0,7.0,0.08917197452229299,0.2,7.0,-0.2310569105691057,0.2310569105691057,0.0
2020_2020-09-20_falcons_at_cowboys,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Falcons,Cowboys,Cowboys,102.0,82.0,50.0,32.0,1.0,1.0,2.0,3.0,13.0,0.0,6.0,11.0,1.0,0.0,7.0,5.0,9.0,0.6097560975609756,0.3902439024390244,0.14634146341463414,0.1111111111111111,home,Falcons,98.0,75.0,41.0,34.0,1.0,4.0,4.0,0.0,6.0,1.0,4.0,11.0,1.0,0.0,4.0,1.0,8.0,0.5466666666666666,0.4533333333333333,0.06666666666666667,0.125,away,157.0,200.0,17.0,3.0,19.0,10.0,22.0,0.0,11.0,6.0,0.10828025477707007,0.11764705882352941,7.0,0.06308943089430896,-0.0630894308943089,3.0
2020_2020-09-20_football_team_at_cardinals,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Football Team,Cardinals,Cardinals,98.0,76.0,44.0,32.0,3.0,3.0,3.0,2.0,10.0,0.0,4.0,9.0,1.0,0.0,4.0,3.0,7.0,0.5789473684210527,0.42105263157894735,0.09210526315789473,0.14285714285714285,home,,,,,,,,,,,,,,,,,,,,,,,,76.0,98.0,7.0,2.0,10.0,4.0,9.0,0.0,4.0,3.0,0.09210526315789473,0.14285714285714285,76.0,0.5789473684210527,0.42105263157894735,2.0
2020_2020-09-20_giants_at_bears,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Giants,Bears,Bears,82.0,65.0,32.0,33.0,4.0,3.0,2.0,2.0,2.0,0.0,2.0,5.0,1.0,0.0,0.0,5.0,5.0,0.49230769230769234,0.5076923076923077,0.07692307692307693,0.2,home,Giants,79.0,65.0,47.0,18.0,4.0,3.0,3.0,3.0,6.0,0.0,2.0,4.0,1.0,0.0,3.0,3.0,5.0,0.7230769230769231,0.27692307692307694,0.09230769230769231,0.2,away,130.0,161.0,10.0,5.0,8.0,4.0,9.0,0.0,3.0,8.0,0.08461538461538462,0.2,0.0,-0.23076923076923073,0.23076923076923073,-1.0
2020_2020-09-20_jaguars_at_titans,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Jaguars,Titans,Titans,88.0,62.0,28.0,34.0,1.0,3.0,2.0,0.0,9.0,0.0,4.0,9.0,1.0,0.0,2.0,3.0,7.0,0.45161290322580644,0.5483870967741935,0.08064516129032258,0.14285714285714285,home,Jaguars,92.0,75.0,47.0,28.0,2.0,2.0,1.0,2.0,3.0,0.0,4.0,8.0,1.0,0.0,3.0,4.0,6.0,0.6266666666666667,0.37333333333333335,0.09333333333333334,0.16666666666666666,away,137.0,180.0,13.0,2.0,12.0,8.0,17.0,0.0,5.0,7.0,0.08759124087591241,0.15384615384615385,-13.0,-0.17505376344086027,0.17505376344086016,-2.0
2020_2020-09-20_lions_at_packers,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Lions,Packers,Packers,93.0,73.0,37.0,36.0,1.0,3.0,2.0,0.0,12.0,0.0,4.0,9.0,1.0,0.0,5.0,6.0,6.0,0.5068493150684932,0.4931506849315068,0.1506849315068493,0.16666666666666666,home,Lions,80.0,58.0,37.0,21.0,5.0,5.0,1.0,2.0,6.0,0.0,4.0,7.0,1.0,0.0,2.0,1.0,6.0,0.6379310344827587,0.3620689655172414,0.05172413793103448,0.16666666666666666,away,131.0,173.0,12.0,2.0,18.0,8.0,16.0,0.0,7.0,7.0,0.10687022900763359,0.16666666666666666,15.0,-0.1310817194142655,0.13108171941426544,-2.0
2020_2020-09-20_panthers_at_buccaneers,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Panthers,Buccaneers,Buccaneers,77.0,58.0,38.0,20.0,0.0,4.0,1.0,2.0,8.0,0.0,4.0,9.0,1.0,0.0,3.0,1.0,6.0,0.6551724137931034,0.3448275862068966,0.06896551724137931,0.16666666666666666,home,Panthers,94.0,72.0,49.0,23.0,5.0,2.0,1.0,4.0,8.0,0.0,2.0,5.0,1.0,0.0,3.0,1.0,7.0,0.6805555555555556,0.3194444444444444,0.05555555555555555,0.14285714285714285,away,130.0,171.0,13.0,6.0,16.0,6.0,14.0,0.0,6.0,2.0,0.06153846153846154,0.15384615384615385,-14.0,-0.025383141762452155,0.025383141762452155,-2.0
2020_2020-09-20_patriots_at_seahawks,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Patriots,Seahawks,Seahawks,85.0,62.0,33.0,30.0,2.0,4.0,0.0,1.0,10.0,0.0,6.0,11.0,1.0,0.0,0.0,3.0,4.0,0.532258064516129,0.4838709677419355,0.04838709677419355,0.25,home,Patriots,89.0,72.0,46.0,26.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,6.0,1.0,0.0,5.0,2.0,4.0,0.6388888888888888,0.3611111111111111,0.09722222222222222,0.25,away,134.0,174.0,8.0,2.0,12.0,9.0,17.0,0.0,5.0,5.0,0.07462686567164178,0.25,-10.0,-0.10663082437275984,0.1227598566308244,0.0
2020_2020-09-20_rams_at_eagles,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Rams,Eagles,Eagles,86.0,69.0,44.0,25.0,0.0,1.0,2.0,4.0,6.0,0.0,2.0,5.0,1.0,0.0,2.0,1.0,5.0,0.6376811594202898,0.36231884057971014,0.043478260869565216,0.2,home,Rams,89.0,68.0,30.0,38.0,1.0,2.0,1.0,0.0,4.0,0.0,5.0,10.0,1.0,0.0,5.0,5.0,5.0,0.4411764705882353,0.5588235294117647,0.14705882352941177,0.2,away,137.0,175.0,10.0,4.0,10.0,7.0,15.0,0.0,7.0,6.0,0.0948905109489051,0.2,1.0,0.19650468883205452,-0.19650468883205457,4.0
2020_2020-09-20_ravens_at_texans,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Ravens,Texans,Texans,78.0,59.0,42.0,17.0,5.0,3.0,3.0,1.0,4.0,0.0,2.0,6.0,1.0,0.0,3.0,0.0,6.0,0.711864406779661,0.288135593220339,0.05084745762711865,0.16666666666666666,home,Ravens,85.0,64.0,28.0,36.0,4.0,2.0,4.0,0.0,4.0,0.0,2.0,8.0,1.0,0.0,3.0,8.0,5.0,0.4375,0.5625,0.171875,0.2,away,123.0,163.0,11.0,1.0,8.0,4.0,14.0,0.0,6.0,8.0,0.11382113821138211,0.18181818181818182,-5.0,0.274364406779661,-0.274364406779661,1.0
2020_2020-09-20_vikings_at_colts,2020,Week 2,2020-09-20,2020-09-20,regular,2.0,Vikings,Colts,Colts,90.0,70.0,30.0,40.0,2.0,2.0,4.0,1.0,7.0,0.0,2.0,8.0,1.0,0.0,4.0,1.0,5.0,0.42857142857142855,0.5714285714285714,0.07142857142857142,0.2,home,Vikings,67.0,52.0,33.0,19.0,3.0,4.0,1.0,3.0,8.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,6.0,0.6346153846153846,0.36538461538461536,0.09615384615384616,0.16666666666666666,away,122.0,157.0,11.0,4.0,15.0,3.0,10.0,0.0,7.0,3.0,0.08196721311475409,0.18181818181818182,18.0,-0.20604395604395603,0.20604395604395603,-2.0
2020_2020-09-21_saints_at_raiders,2020,Week 2,2020-09-21,2020-09-21,regular,2.0,Saints,Raiders,Raiders,103.0,78.0,45.0,33.0,3.0,2.0,2.0,1.0,8.0,0.0,4.0,10.0,1.0,0.0,5.0,4.0,5.0,0.5769230769230769,0.4230769230769231,0.11538461538461539,0.2,home,Saints,75.0,60.0,39.0,21.0,0.0,3.0,1.0,1.0,10.0,0.0,3.0,7.0,1.0,0.0,3.0,4.0,6.0,0.65,0.35,0.11666666666666667,0.16666666666666666,away,138.0,178.0,11.0,2.0,18.0,7.0,17.0,0.0,8.0,8.0,0.11594202898550725,0.18181818181818182,18.0,-0.07307692307692315,0.0730769230769231,0.0
2020_2020-09-24_dolphins_at_jaguars,2020,Week 3,2020-09-24,2020-09-24,regular,3.0,Dolphins,Jaguars,Jaguars,82.0,66.0,49.0,17.0,4.0,3.0,0.0,2.0,8.0,0.0,2.0,3.0,1.0,0.0,1.0,2.0,5.0,0.7424242424242424,0.25757575757575757,0.045454545454545456,0.2,home,Dolphins,78.0,61.0,24.0,37.0,1.0,4.0,1.0,0.0,8.0,1.0,4.0,9.0,1.0,0.0,2.0,3.0,6.0,0.39344262295081966,0.6065573770491803,0.08196721311475409,0.16666666666666666,away,127.0,160.0,11.0,2.0,16.0,6.0,12.0,0.0,3.0,5.0,0.06299212598425197,0.18181818181818182,5.0,0.34898161947342277,-0.34898161947342277,2.0
2020_2020-09-27_49ers_at_giants,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,49ers,Giants,Giants,65.0,50.0,36.0,14.0,2.0,1.0,3.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,6.0,0.72,0.28,0.08,0.16666666666666666,home,49ers,98.0,74.0,41.0,33.0,2.0,0.0,4.0,0.0,8.0,0.0,5.0,10.0,1.0,0.0,4.0,1.0,6.0,0.5540540540540541,0.44594594594594594,0.06756756756756757,0.16666666666666666,away,124.0,163.0,12.0,3.0,13.0,5.0,13.0,0.0,6.0,3.0,0.07258064516129033,0.16666666666666666,-24.0,0.16594594594594592,-0.16594594594594592,3.0
2020_2020-09-27_bears_at_falcons,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Bears,Falcons,Falcons,90.0,67.0,42.0,25.0,3.0,6.0,3.0,1.0,9.0,0.0,3.0,7.0,1.0,0.0,3.0,3.0,9.0,0.6268656716417911,0.373134328358209,0.08955223880597014,0.1111111111111111,home,Bears,102.0,81.0,56.0,25.0,2.0,4.0,2.0,3.0,7.0,0.0,6.0,8.0,1.0,0.0,4.0,4.0,9.0,0.691358024691358,0.30864197530864196,0.09876543209876543,0.1111111111111111,away,148.0,192.0,18.0,4.0,16.0,9.0,15.0,0.0,7.0,7.0,0.0945945945945946,0.1111111111111111,-14.0,-0.06449235304956691,0.06449235304956702,-2.0
2020_2020-09-27_bengals_at_eagles,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Bengals,Eagles,Eagles,115.0,88.0,53.0,35.0,4.0,6.0,3.0,2.0,8.0,1.0,2.0,7.0,1.0,0.0,1.0,5.0,8.0,0.6022727272727273,0.3977272727272727,0.06818181818181818,0.125,home,Bengals,101.0,72.0,54.0,18.0,8.0,7.0,3.0,0.0,11.0,0.0,2.0,7.0,1.0,0.0,3.0,1.0,9.0,0.75,0.25,0.05555555555555555,0.1111111111111111,away,160.0,216.0,17.0,2.0,19.0,4.0,14.0,0.0,4.0,6.0,0.0625,0.11764705882352941,16.0,-0.1477272727272727,0.1477272727272727,2.0
2020_2020-09-27_buccaneers_at_broncos,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Buccaneers,Broncos,Broncos,80.0,62.0,48.0,14.0,6.0,6.0,1.0,2.0,10.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,6.0,0.7741935483870968,0.22580645161290322,0.04838709677419355,0.16666666666666666,home,Buccaneers,86.0,68.0,41.0,27.0,2.0,5.0,2.0,0.0,7.0,0.0,3.0,7.0,1.0,0.0,4.0,1.0,7.0,0.6029411764705882,0.39705882352941174,0.07352941176470588,0.14285714285714285,away,130.0,166.0,13.0,2.0,17.0,4.0,10.0,0.0,7.0,1.0,0.06153846153846154,0.15384615384615385,-6.0,0.17125237191650855,-0.17125237191650852,2.0
2020_2020-09-27_cowboys_at_seahawks,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Cowboys,Seahawks,Seahawks,99.0,76.0,50.0,26.0,6.0,7.0,0.0,2.0,10.0,0.0,5.0,9.0,1.0,0.0,1.0,4.0,8.0,0.6578947368421053,0.34210526315789475,0.06578947368421052,0.125,home,Cowboys,104.0,81.0,61.0,20.0,2.0,3.0,2.0,3.0,9.0,0.0,4.0,7.0,1.0,0.0,6.0,0.0,8.0,0.7530864197530864,0.24691358024691357,0.07407407407407407,0.125,away,157.0,203.0,16.0,5.0,19.0,9.0,16.0,0.0,7.0,4.0,0.07006369426751592,0.125,-5.0,-0.09519168291098112,0.09519168291098118,-1.0
2020_2020-09-27_football_team_at_browns,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Football Team,Browns,Browns,83.0,63.0,25.0,38.0,2.0,5.0,2.0,0.0,5.0,0.0,4.0,10.0,1.0,0.0,0.0,3.0,6.0,0.3968253968253968,0.6031746031746031,0.047619047619047616,0.16666666666666666,home,,,,,,,,,,,,,,,,,,,,,,,,63.0,83.0,6.0,0.0,5.0,4.0,10.0,0.0,0.0,3.0,0.047619047619047616,0.16666666666666666,63.0,0.3968253968253968,0.6031746031746031,0.0
2020_2020-09-27_jets_at_colts,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Jets,Colts,Colts,74.0,58.0,27.0,31.0,0.0,4.0,3.0,0.0,5.0,0.0,2.0,6.0,1.0,0.0,3.0,5.0,7.0,0.46551724137931033,0.5344827586206896,0.13793103448275862,0.14285714285714285,home,Jets,80.0,63.0,33.0,30.0,2.0,5.0,0.0,3.0,5.0,0.0,3.0,4.0,1.0,0.0,2.0,2.0,6.0,0.5238095238095238,0.47619047619047616,0.06349206349206349,0.16666666666666666,away,121.0,154.0,13.0,3.0,10.0,5.0,10.0,0.0,5.0,7.0,0.09917355371900827,0.15384615384615385,-5.0,-0.058292282430213505,0.05829228243021345,-3.0
2020_2020-09-27_lions_at_cardinals,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Lions,Cardinals,Cardinals,80.0,65.0,38.0,27.0,1.0,2.0,1.0,3.0,4.0,0.0,3.0,6.0,1.0,0.0,3.0,4.0,6.0,0.5846153846153846,0.4153846153846154,0.1076923076923077,0.16666666666666666,home,Lions,89.0,66.0,39.0,27.0,4.0,4.0,4.0,1.0,11.0,0.0,2.0,8.0,1.0,0.0,4.0,1.0,5.0,0.5909090909090909,0.4090909090909091,0.07575757575757576,0.2,away,131.0,169.0,11.0,4.0,15.0,5.0,14.0,0.0,7.0,5.0,0.0916030534351145,0.18181818181818182,-1.0,-0.0062937062937062915,0.0062937062937062915,2.0
2020_2020-09-27_packers_at_saints,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Packers,Saints,Saints,84.0,61.0,41.0,20.0,2.0,3.0,3.0,1.0,5.0,0.0,3.0,9.0,1.0,0.0,1.0,2.0,5.0,0.6721311475409836,0.32786885245901637,0.04918032786885246,0.2,home,Packers,78.0,62.0,36.0,26.0,1.0,1.0,3.0,0.0,5.0,1.0,4.0,11.0,1.0,0.0,3.0,4.0,5.0,0.5806451612903226,0.41935483870967744,0.11290322580645161,0.2,away,123.0,162.0,10.0,1.0,10.0,7.0,20.0,0.0,4.0,6.0,0.08130081300813008,0.2,-1.0,0.09148598625066096,-0.09148598625066107,1.0
2020_2020-09-27_panthers_at_chargers,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Panthers,Chargers,Chargers,94.0,77.0,55.0,22.0,2.0,3.0,1.0,4.0,8.0,0.0,2.0,4.0,1.0,0.0,4.0,3.0,5.0,0.7142857142857143,0.2857142857142857,0.09090909090909091,0.2,home,Panthers,71.0,51.0,30.0,21.0,2.0,4.0,5.0,0.0,4.0,0.0,1.0,6.0,1.0,0.0,3.0,2.0,6.0,0.5882352941176471,0.4117647058823529,0.09803921568627451,0.16666666666666666,away,128.0,165.0,11.0,4.0,12.0,3.0,10.0,0.0,7.0,5.0,0.09375,0.18181818181818182,26.0,0.12605042016806722,-0.12605042016806722,4.0
2020_2020-09-27_raiders_at_patriots,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Raiders,Patriots,Patriots,83.0,69.0,31.0,38.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0,8.0,1.0,0.0,2.0,8.0,6.0,0.4492753623188406,0.5507246376811594,0.14492753623188406,0.16666666666666666,home,Raiders,83.0,59.0,37.0,22.0,2.0,3.0,3.0,2.0,8.0,0.0,4.0,7.0,1.0,0.0,5.0,4.0,5.0,0.6271186440677966,0.3728813559322034,0.15254237288135594,0.2,away,128.0,166.0,11.0,3.0,10.0,7.0,15.0,0.0,7.0,12.0,0.1484375,0.18181818181818182,10.0,-0.17784328174895603,0.17784328174895603,-1.0
2020_2020-09-27_rams_at_bills,2020,Week 3,2020-09-27,2020-09-27,regular,3.0,Rams,Bills,Bills,80.0,62.0,41.0,21.0,4.0,2.0,0.0,2.0,8.0,0.0,7.0,10.0,1.0,0.0,6.0,3.0,5.0,0.6612903225806451,0.3387096774193548,0.14516129032258066,0.2,home,Rams,83.0,67.0,35.0,32.0,2.0,0.0,2.0,2.0,3.0,0.0,4.0,8.0,1.0,0.0,5.0,6.0,4.0,0.5223880597014925,0.47761194029850745,0.16417910447761194,0.25,away,129.0,163.0,9.0,4.0,11.0,11.0,18.0,0.0,11.0,9.0,0.15503875968992248,0.2222222222222222,-5.0,0.13890226287915264,-0.13890226287915264,0.0
