game_id,Season,Week,game_date,game_date_str,AwayTeam,HomeTeam,season_type,week_sort,team,total_plays,offensive_plays,pass_plays,rush_plays,sacks,punts,field_goal_plays,turnovers,penalties,first_downs,touchdowns,scoring_plays,scoring_drives,red_zone_plays,explosive_passes,explosive_runs,drive_count,pass_rate,rush_rate,explosive_play_rate,scoring_drive_rate,home_or_away
2019_2019-11-10_ravens_at_bengals,2019,Week 10,2019-11-10,2019-11-10,Ravens,Bengals,regular,10.0,Ravens,57,45,23,22,1,1,0,1,1,0,5,10,1,0,3,1,5,0.5111111111111111,0.4888888888888889,0.08888888888888889,0.2,away
2019_2019-11-10_vikings_at_cowboys,2019,Week 10,2019-11-10,2019-11-10,Vikings,Cowboys,regular,10.0,Cowboys,84,71,49,22,2,2,2,1,5,0,3,7,1,0,8,0,4,0.6901408450704225,0.30985915492957744,0.11267605633802817,0.25,home
2019_2019-11-10_vikings_at_cowboys,2019,Week 10,2019-11-10,2019-11-10,Vikings,Cowboys,regular,10.0,Vikings,95,71,36,35,2,4,2,1,8,0,5,7,1,0,3,5,5,0.5070422535211268,0.49295774647887325,0.11267605633802817,0.2,away
2019_2019-11-11_seahawks_at_49ers,2019,Week 10,2019-11-11,2019-11-11,Seahawks,49ers,regular,10.0,49ers,109,82,55,27,6,5,4,3,11,0,2,6,1,0,2,1,7,0.6707317073170732,0.32926829268292684,0.036585365853658534,0.14285714285714285,home
2019_2019-11-11_seahawks_at_49ers,2019,Week 10,2019-11-11,2019-11-11,Seahawks,49ers,regular,10.0,Seahawks,99,73,39,34,5,7,2,3,2,0,3,7,1,0,1,3,6,0.5342465753424658,0.4657534246575342,0.0547945205479452,0.16666666666666666,away
2019_2019-11-14_steelers_at_browns,2019,Week 11,2019-11-14,2019-11-14,Steelers,Browns,regular,11.0,Browns,90,70,35,35,1,8,2,0,7,0,4,6,1,0,4,3,8,0.5,0.5,0.1,0.125,home
2019_2019-11-14_steelers_at_browns,2019,Week 11,2019-11-14,2019-11-14,Steelers,Browns,regular,11.0,Steelers,89,72,55,17,4,5,1,4,12,0,1,2,1,0,4,2,7,0.7638888888888888,0.2361111111111111,0.08333333333333333,0.14285714285714285,away
2019_2019-11-17_bears_at_rams,2019,Week 11,2019-11-17,2019-11-17,Bears,Rams,regular,11.0,Bears,91,76,52,24,4,6,2,1,7,0,1,2,1,0,0,2,6,0.6842105263157895,0.3157894736842105,0.02631578947368421,0.16666666666666666,away
2019_2019-11-17_bears_at_rams,2019,Week 11,2019-11-17,2019-11-17,Bears,Rams,regular,11.0,Rams,67,54,20,34,0,6,1,2,3,0,4,5,1,0,4,3,6,0.37037037037037035,0.6296296296296297,0.12962962962962962,0.16666666666666666,home
2019_2019-11-17_bengals_at_raiders,2019,Week 11,2019-11-17,2019-11-17,Bengals,Raiders,regular,11.0,Bengals,78,60,38,22,5,5,2,2,7,0,1,3,1,0,1,7,6,0.6333333333333333,0.36666666666666664,0.13333333333333333,0.16666666666666666,away
2019_2019-11-17_bengals_at_raiders,2019,Week 11,2019-11-17,2019-11-17,Bengals,Raiders,regular,11.0,Raiders,89,67,33,34,3,5,1,2,6,0,2,5,1,0,7,3,7,0.4925373134328358,0.5074626865671642,0.14925373134328357,0.14285714285714285,home
2019_2019-11-17_bills_at_dolphins,2019,Week 11,2019-11-17,2019-11-17,Bills,Dolphins,regular,11.0,Bills,92,69,35,34,0,5,3,0,7,0,4,11,1,0,1,4,8,0.5072463768115942,0.4927536231884058,0.07246376811594203,0.125,away
2019_2019-11-17_bills_at_dolphins,2019,Week 11,2019-11-17,2019-11-17,Bills,Dolphins,regular,11.0,Dolphins,90,68,55,13,7,6,0,1,8,0,3,5,1,0,2,1,9,0.8088235294117647,0.19117647058823528,0.04411764705882353,0.1111111111111111,home
2019_2019-11-17_broncos_at_vikings,2019,Week 11,2019-11-17,2019-11-17,Broncos,Vikings,regular,11.0,Broncos,101,79,46,33,2,3,4,1,9,0,2,7,1,0,6,3,7,0.5822784810126582,0.4177215189873418,0.11392405063291139,0.14285714285714285,away
2019_2019-11-17_broncos_at_vikings,2019,Week 11,2019-11-17,2019-11-17,Broncos,Vikings,regular,11.0,Vikings,79,61,44,17,5,5,0,2,5,0,4,7,1,0,3,0,7,0.7213114754098361,0.2786885245901639,0.04918032786885246,0.14285714285714285,home
2019_2019-11-17_cardinals_at_49ers,2019,Week 11,2019-11-17,2019-11-17,Cardinals,49ers,regular,11.0,49ers,98,73,54,19,2,2,1,2,14,1,5,8,1,0,8,0,6,0.7397260273972602,0.2602739726027397,0.1095890410958904,0.16666666666666666,home
2019_2019-11-17_cardinals_at_49ers,2019,Week 11,2019-11-17,2019-11-17,Cardinals,49ers,regular,11.0,Cardinals,85,66,42,24,4,4,2,2,7,0,5,8,1,0,2,3,7,0.6363636363636364,0.36363636363636365,0.07575757575757576,0.14285714285714285,away
2019_2019-11-17_cowboys_at_lions,2019,Week 11,2019-11-17,2019-11-17,Cowboys,Lions,regular,11.0,Cowboys,92,73,48,25,1,3,2,1,7,0,4,9,1,0,6,0,7,0.6575342465753424,0.3424657534246575,0.0821917808219178,0.14285714285714285,away
2019_2019-11-17_cowboys_at_lions,2019,Week 11,2019-11-17,2019-11-17,Cowboys,Lions,regular,11.0,Lions,82,62,32,30,3,6,0,0,11,0,4,7,1,0,4,3,7,0.5161290322580645,0.4838709677419355,0.11290322580645161,0.14285714285714285,home
2019_2019-11-17_falcons_at_panthers,2019,Week 11,2019-11-17,2019-11-17,Falcons,Panthers,regular,11.0,Falcons,78,65,38,27,4,3,4,1,7,0,4,6,1,0,4,1,6,0.5846153846153846,0.4153846153846154,0.07692307692307693,0.16666666666666666,away
2019_2019-11-17_falcons_at_panthers,2019,Week 11,2019-11-17,2019-11-17,Falcons,Panthers,regular,11.0,Panthers,92,73,56,17,5,3,1,4,8,0,1,2,1,0,4,1,6,0.7671232876712328,0.2328767123287671,0.0684931506849315,0.16666666666666666,home
2019_2019-11-17_jaguars_at_colts,2019,Week 11,2019-11-17,2019-11-17,Jaguars,Colts,regular,11.0,Colts,84,65,30,35,3,3,1,1,8,0,5,9,1,0,1,8,6,0.46153846153846156,0.5384615384615384,0.13846153846153847,0.16666666666666666,home
2019_2019-11-17_jaguars_at_colts,2019,Week 11,2019-11-17,2019-11-17,Jaguars,Colts,regular,11.0,Jaguars,78,62,53,9,2,5,1,3,5,0,2,3,1,0,1,1,7,0.8548387096774194,0.14516129032258066,0.03225806451612903,0.14285714285714285,away
2019_2019-11-17_jets_at_redskins,2019,Week 11,2019-11-17,2019-11-17,Jets,Redskins,regular,11.0,Commanders,85,65,45,20,6,6,2,1,7,0,2,3,1,0,3,0,7,0.6923076923076923,0.3076923076923077,0.046153846153846156,0.14285714285714285,unknown
2019_2019-11-17_jets_at_redskins,2019,Week 11,2019-11-17,2019-11-17,Jets,Redskins,regular,11.0,Jets,89,68,35,33,2,4,1,2,9,0,5,9,1,0,3,2,6,0.5147058823529411,0.4852941176470588,0.07352941176470588,0.16666666666666666,away
2019_2019-11-17_patriots_at_eagles,2019,Week 11,2019-11-17,2019-11-17,Patriots,Eagles,regular,11.0,Eagles,93,72,51,21,5,8,1,3,10,0,1,3,1,0,5,1,7,0.7083333333333334,0.2916666666666667,0.08333333333333333,0.14285714285714285,home
2019_2019-11-17_patriots_at_eagles,2019,Week 11,2019-11-17,2019-11-17,Patriots,Eagles,regular,11.0,Patriots,92,73,50,23,1,8,3,0,4,0,1,4,1,0,2,1,8,0.684931506849315,0.3150684931506849,0.0410958904109589,0.125,away
2019_2019-11-17_saints_at_buccaneers,2019,Week 11,2019-11-17,2019-11-17,Saints,Buccaneers,regular,11.0,Buccaneers,84,67,59,8,3,3,1,4,11,0,4,6,1,0,5,1,5,0.8805970149253731,0.11940298507462686,0.08955223880597014,0.2,home
2019_2019-11-17_saints_at_buccaneers,2019,Week 11,2019-11-17,2019-11-17,Saints,Buccaneers,regular,11.0,Saints,86,65,37,28,1,3,2,0,7,0,4,8,1,0,2,2,6,0.5692307692307692,0.4307692307692308,0.06153846153846154,0.16666666666666666,away
2019_2019-11-17_texans_at_ravens,2019,Week 11,2019-11-17,2019-11-17,Texans,Ravens,regular,11.0,Ravens,82,67,30,37,0,0,3,0,11,0,5,12,1,0,3,6,6,0.44776119402985076,0.5522388059701493,0.13432835820895522,0.16666666666666666,home
2019_2019-11-17_texans_at_ravens,2019,Week 11,2019-11-17,2019-11-17,Texans,Ravens,regular,11.0,Texans,78,60,40,20,7,3,1,2,6,0,1,2,1,0,1,2,5,0.6666666666666666,0.3333333333333333,0.05,0.2,away
2019_2019-11-18_chiefs_at_chargers,2019,Week 11,2019-11-18,2019-11-18,Chiefs,Chargers,regular,11.0,Chargers,94,79,60,19,3,3,4,5,8,0,1,4,1,0,6,3,8,0.759493670886076,0.24050632911392406,0.11392405063291139,0.125,home
2019_2019-11-18_chiefs_at_chargers,2019,Week 11,2019-11-18,2019-11-18,Chiefs,Chargers,regular,11.0,Chiefs,87,67,38,29,1,6,1,1,8,0,3,7,1,0,1,3,8,0.5671641791044776,0.43283582089552236,0.05970149253731343,0.125,away
2019_2019-11-21_colts_at_texans,2019,Week 12,2019-11-21,2019-11-21,Colts,Texans,regular,12.0,Colts,85,65,26,39,1,5,1,0,4,0,2,4,1,0,0,3,5,0.4,0.6,0.046153846153846156,0.2,away
