game_id,Season,Week,game_date,home_team_bet,away_team_bet,selected_team,profit,actual_win,model_prob,edge,closing_odds,implied_prob,books_used,selected_team_full,open_prob,mid_prob,close_prob,open_price,mid_price,close_price,mid_diff_seconds,match_rows,mid_diff_hours,mid_valid_24h,mid_valid_36h,mid_valid_48h,model_edge_vs_open,model_edge_vs_mid,model_edge_vs_close,true_moneyline,open_to_mid_prob_move,mid_to_close_prob_move,open_to_close_prob_move,edge_rank,hit
2024_3_Lions_Cardinals,2024,3,2024-09-22,Cardinals,Lions,Lions,0.6451612903225806,1,0.7508573965165305,0.1430142592616285,-155.0,0.6078431372549019,10,Detroit Lions,0.6279371788608218,0.597887085892149,0.6020044691564158,-165.0,-148.0,-150.0,44651.52631578947,19,12.403201754385965,True,True,True,0.12292021765570871,0.1529703106243815,0.14885292736011468,-301.37655544181126,-0.03005009296867278,0.004117383264266805,-0.025932709704405976,2.0,1
2024_4_Browns_Raiders,2024,4,2024-09-29,Raiders,Browns,Raiders,1.235,1,0.5628750518706963,0.1154477588058193,123.5,0.4474272930648769,10,Las Vegas Raiders,0.4979618599833677,0.538565904138205,0.45938818231291817,100.0,-120.0,121.0,121477.5,12,33.74375,False,True,True,0.06491319188732858,0.024309147732491265,0.10348686955777814,-128.76754215918035,0.040604044154837315,-0.07917772182528687,-0.03857367767044956,1.0,1
2024_4_Seahawks_Lions,2024,4,2024-09-30,Lions,Seahawks,Lions,0.4761904761904761,1,0.7870239874310844,0.1096046325923747,-210.0,0.6774193548387096,10,Detroit Lions,,,,,,,,0,,False,False,False,,,,-369.53644588327336,,,,2.0,1
2024_4_Steelers_Colts,2024,4,2024-09-29,Colts,Steelers,Colts,1.23,1,0.553087067454512,0.1046565741809693,123.0,0.4484304932735426,10,Indianapolis Colts,0.5189497037394499,0.49560651290034485,0.4657049275068887,-119.0,105.0,122.0,111227.5,12,30.896527777777777,False,True,True,0.03413736371506204,0.05748055455416712,0.08738213994762328,-123.75723036348187,-0.023343190839105077,-0.029901585393456165,-0.05324477623256124,3.0,1
2024_5_Packers_Rams,2024,5,2024-10-06,Rams,Packers,Packers,0.6060606060606061,1,0.7387614872845184,0.1161199778505561,-165.0,0.6226415094339622,10,Green Bay Packers,0.6305639496699812,0.6234184423707989,0.6254919277544507,-180.0,-165.0,-165.0,135805.61538461538,13,37.72378205128205,False,False,True,0.10819753761453721,0.1153430449137195,0.11326955953006768,-282.7919511581026,-0.0071455072991822854,0.0020734853836518186,-0.005072021915530467,2.0,1
2024_5_Panthers_Bears,2024,5,2024-10-06,Bears,Panthers,Bears,0.4878048780487805,1,0.779626571038617,0.1074954234976334,-205.0,0.6721311475409836,10,Chicago Bears,0.6681127756950501,0.6652456307182839,0.669444584729818,-200.0,-200.0,-205.0,123505.61538461539,13,34.307115384615386,False,True,True,0.11151379534356687,0.11438094032033308,0.11018198630879894,-353.7752145133769,-0.0028671449767662116,0.0041989540115341395,0.0013318090347679279,3.0,1
2024_5_Saints_Chiefs,2024,5,2024-10-07,Chiefs,Saints,Chiefs,0.4123711340206185,1,0.8428705824435223,0.1348413853632303,-242.5,0.708029197080292,10,Kansas City Chiefs,,,,,,,,0,,False,False,False,,,,-536.4180657899823,,,,1.0,1
2024_6_Bills_Jets,2024,6,2024-10-14,Jets,Bills,Bills,0.8403361344537815,1,0.6907473106951285,0.1473683152613385,-119.0,0.54337899543379,10,Buffalo Bills,,,,,,,,0,,False,False,False,,,,-223.36016292946996,,,,2.0,1
2024_6_Buccaneers_Saints,2024,6,2024-10-13,Saints,Buccaneers,Saints,-1.0,0,0.5646424759657754,0.1770455767409692,158.0,0.3875968992248062,10,New Orleans Saints,0.5339821146534649,0.4363838496476667,0.43579409412932374,-132.0,155.0,155.0,123506.38461538461,13,34.30732905982906,False,True,True,0.030660361312310536,0.12825862631810875,0.1288483818364517,-129.69627140781594,-0.09759826500579821,-0.0005897555183429493,-0.09818802052414116,1.0,0
2024_6_Chargers_Broncos,2024,6,2024-10-13,Broncos,Chargers,Chargers,0.6451612903225806,1,0.7308921351642151,0.1230489979093132,-155.0,0.6078431372549019,10,Los Angeles Chargers,0.5911749760631372,0.6048621153985543,0.599792348690373,-145.5,-155.0,-153.5,138407.42857142858,14,38.44650793650794,False,False,True,0.13971715910107796,0.12603001976566086,0.13109978647384213,-271.5982067674687,0.013687139335417098,-0.005069766708181267,0.00861737262723583,3.0,1
2024_7_Broncos_Saints,2024,7,2024-10-17,Saints,Broncos,Saints,-1.0,0,0.6036596839146522,0.1631310495534187,127.0,0.4405286343612334,10,New Orleans Saints,,,,,,,,0,,False,False,False,,,,-152.30842269012578,,,,1.0,0
2024_7_Eagles_Giants,2024,7,2024-10-20,Giants,Eagles,Eagles,0.6116207951070336,1,0.7798996208384377,0.1594062622046616,-163.5,0.6204933586337761,10,Philadelphia Eagles,0.6542855126289958,0.6291975355434023,0.6203064681289725,-186.5,-167.5,-163.5,12501.1,10,3.4725277777777777,True,True,True,0.12561410820944185,0.15070208529503537,0.15959315270946517,-354.3381541682673,-0.025087977085593516,-0.008891067414429799,-0.033979044500023314,2.0,1
2024_7_Jets_Steelers,2024,7,2024-10-20,Steelers,Jets,Steelers,1.19,1,0.602169456591546,0.1455484520253359,119.0,0.45662100456621,10,Pittsburgh Steelers,,,,,,,,0,,False,False,False,,,,-151.36330444424837,,,,3.0,1
2024_8_Bills_Seahawks,2024,8,2024-10-27,Seahawks,Bills,Bills,0.625,1,0.7732615791658232,0.1578769637812077,-160.0,0.6153846153846154,10,Buffalo Bills,0.6104316022525011,0.6230540420643,0.6136843468512669,-159.0,-165.0,-159.5,127960.42857142857,14,35.54456349206349,False,True,True,0.16282997691332202,0.15020753710152313,0.15957723231455623,-341.0368548572283,0.012622439811798891,-0.009369695213033102,0.003252744598765789,1.0,1
2024_8_Cowboys_49ers,2024,8,2024-10-27,49ers,Cowboys,49ers,0.4366812227074236,1,0.831010170413929,0.134961538195084,-229.0,0.6960486322188449,10,San Francisco 49ers,,,,,,,,0,,False,False,False,,,,-491.7515879206644,,,,3.0,1
2024_8_Falcons_Buccaneers,2024,8,2024-10-27,Buccaneers,Falcons,Buccaneers,-1.0,0,0.6236540722381447,0.1358491941893642,105.0,0.4878048780487805,10,Tampa Bay Buccaneers,0.5207315883587958,0.45560610883191527,0.4847654606720314,-117.5,120.0,105.0,28236.6,10,7.8435,True,True,True,0.10292248387934888,0.16804796340622946,0.13888861156611332,-165.71298537678916,-0.06512547952688058,0.029159351840116143,-0.03596612768676444,2.0,0
2024_9_Commanders_Giants,2024,9,2024-11-03,Giants,Commanders,Commanders,0.4761904761904761,1,0.7631919507267636,0.0857725958880539,-210.0,0.6774193548387096,10,Washington Commanders,0.6233450222787984,0.6481649821880018,0.6626418409227859,-165.0,-194.0,-210.0,127105.61538461539,13,35.307115384615386,False,True,True,0.1398469284479652,0.11502696853876182,0.10055010980397772,-322.28294311320866,0.024819959909203382,0.014476858734784104,0.039296818643987486,1.0,1
2024_9_Dolphins_Bills,2024,9,2024-11-03,Bills,Dolphins,Bills,0.3636363636363636,1,0.7925413121002094,0.0592079787668761,-275.0,0.7333333333333333,10,Buffalo Bills,0.7100530370031848,0.7277337796832415,0.7307260820793469,-260.0,-270.0,-275.0,112392.64285714286,14,31.22017857142857,False,True,True,0.08248827509702461,0.0648075324169679,0.06181523002086253,-382.0236790869096,0.017680742680056705,0.002992302396105373,0.020673045076162078,3.0,1
2024_9_Rams_Seahawks,2024,9,2024-11-03,Seahawks,Rams,Seahawks,-1.0,0,0.5645039721786129,0.0766990941298324,105.0,0.4878048780487805,10,Seattle Seahawks,0.541898702433906,0.5048964726488976,0.5131291580440622,-115.0,110.0,105.0,119467.23076923077,13,33.18534188034188,False,True,True,0.02260526974470689,0.059607499529715335,0.051374814134550695,-129.6232195279946,-0.037002229785008445,0.00823268539516464,-0.028769544389843804,2.0,0
