game_id,open_home_ml,open_away_ml,closing_home_ml,closing_away_ml,open_home_books,open_away_books,closing_home_books,closing_away_books,open_favorite_side,closing_favorite_side,open_favorite_odds,closing_favorite_odds,open_dog_odds,closing_dog_odds,open_favorite_strength,closing_favorite_strength,favorite_strength_delta,favorite_flip,home_ml_move,away_ml_move,home_implied_move,away_implied_move,market_pressure_side
2025_7_Raiders_Chiefs,-670.0,440.0,-950.0,614.0,11,11,11,11,home,home,-670.0,-950.0,440.0,614.0,0.684944684944685,0.7647058823529411,0.07976119740825616,0.0,-280.0,174.0,0.03463203463203468,-0.04512916277622159,home
2025_7_Rams_Jaguars,135.0,-177.0,140.0,-165.0,11,11,11,11,away,away,-177.0,-165.0,135.0,140.0,0.2134572547814732,0.20597484276729555,-0.007482412014177653,0.0,5.0,12.0,-0.00886524822695034,-0.016347660241127993,none_or_unclear
2025_7_Saints_Bears,-270.0,203.0,-220.0,180.0,11,11,11,11,home,home,-270.0,-220.0,203.0,180.0,0.3996967264293997,0.33035714285714285,-0.06933958357225684,0.0,50.0,-23.0,-0.042229729729729715,0.02710985384252712,away
2025_7_Steelers_Bengals,185.0,-240.0,210.0,-260.0,11,11,11,11,away,away,-240.0,-260.0,185.0,210.0,0.3550051599587204,0.3996415770609319,0.0446364171022115,0.0,25.0,-20.0,-0.028296547821165807,0.016339869281045694,away
2025_7_Texans_Seahawks,-165.0,135.0,-175.0,146.0,11,11,11,11,home,home,-165.0,-175.0,135.0,146.0,0.1971095945403452,0.22985957132298596,0.032749976782640744,0.0,-10.0,11.0,0.013722126929674117,-0.019027849852966627,home
2025_8_49ers_Texans,-125.0,105.0,-152.0,128.0,11,11,11,11,home,home,-125.0,-152.0,105.0,128.0,0.0677506775067751,0.164578111946533,0.09682743443975789,0.0,-27.0,23.0,0.04761904761904756,-0.049208386820710326,home
2025_8_Bears_Ravens,-325.0,260.0,-148.0,124.0,11,11,11,11,home,home,-325.0,-148.0,260.0,124.0,0.48692810457516333,0.15034562211981567,-0.33658248245534766,0.0,177.0,-136.0,-0.167931688804554,0.16865079365079366,away
2025_8_Bills_Panthers,325.0,-425.0,312.0,-420.0,11,11,11,11,away,away,-425.0,-420.0,325.0,312.0,0.5742296918767507,0.564973861090366,-0.0092558307863847,0.0,-13.0,5.0,0.0074243289548829305,-0.001831501831501825,home
2025_8_Browns_Patriots,-360.0,280.0,-375.0,295.0,11,11,11,11,home,home,-360.0,-375.0,280.0,295.0,0.5194508009153318,0.536309127248501,0.016858326333169193,0.0,-15.0,15.0,0.006864988558352381,-0.009993337774816757,home
2025_8_Buccaneers_Saints,195.0,-250.0,175.0,-210.0,11,11,11,11,away,away,-250.0,-210.0,195.0,175.0,0.3753026634382567,0.313782991202346,-0.061519672235910705,0.0,-20.0,40.0,0.024653312788906034,-0.03686635944700467,home
2025_8_Commanders_Chiefs,-575.0,410.0,-750.0,525.0,11,11,11,11,home,home,-575.0,-750.0,410.0,525.0,0.6557734204793029,0.7223529411764705,0.06657952069716766,0.0,-175.0,115.0,0.030501089324618702,-0.036078431372549014,home
2025_8_Cowboys_Broncos,-170.0,140.0,-195.0,160.0,11,11,11,11,home,home,-170.0,-195.0,140.0,160.0,0.21296296296296297,0.27640156453715775,0.06343860157419479,0.0,-25.0,20.0,0.03138731952291274,-0.03205128205128205,home
2025_8_Dolphins_Falcons,-360.0,289.0,-390.0,300.0,11,11,11,11,home,home,-360.0,-390.0,289.0,300.0,0.5255392869118141,0.5459183673469388,0.020379080435124708,0.0,-30.0,11.0,0.013309671694764824,-0.007069408740359884,home
2025_8_Giants_Eagles,-430.0,280.0,-400.0,300.0,11,11,11,11,home,home,-430.0,-400.0,280.0,300.0,0.5481628599801391,0.55,0.0018371400198609056,0.0,30.0,20.0,-0.01132075471698113,-0.01315789473684209,none_or_unclear
2025_8_Jets_Bengals,-290.0,237.0,-290.0,235.0,11,11,11,11,home,home,-290.0,-290.0,237.0,235.0,0.44685383854523325,0.4450822809031765,-0.0017715576420567758,0.0,0.0,-2.0,0.0,0.0017715576420567758,away
2025_8_Packers_Steelers,140.0,-175.0,130.0,-155.0,11,11,11,11,away,away,-175.0,-155.0,140.0,130.0,0.21969696969696967,0.17306052855924975,-0.04663644113771992,0.0,-10.0,20.0,0.018115942028985477,-0.028520499108734443,home
2025_8_Titans_Colts,-952.0,560.0,-1600.0,870.0,11,11,11,11,home,home,-952.0,-1600.0,560.0,870.0,0.7534278142643162,0.8380836870830807,0.08465587281876452,0.0,-648.0,310.0,0.036233504808767636,-0.048422368009996886,home
2025_8_Vikings_Chargers,-155.0,134.0,-180.0,150.0,11,11,11,11,home,home,-155.0,-180.0,134.0,150.0,0.18049270990447458,0.24285714285714288,0.0623644329526683,0.0,-25.0,16.0,0.035014005602240994,-0.02735042735042731,home
2025_9_49ers_Giants,129.0,-150.0,120.0,-145.0,11,11,11,11,away,away,-150.0,-145.0,129.0,120.0,0.16331877729257638,0.137291280148423,-0.026027497144153366,0.0,-9.0,5.0,0.01786423183803093,-0.008163265306122436,home
2025_9_Bears_Bengals,110.0,-130.0,130.0,-155.0,11,11,11,11,away,away,-130.0,-155.0,110.0,130.0,0.08902691511387162,0.17306052855924975,0.08403361344537813,0.0,20.0,-25.0,-0.041407867494824,0.04262574595055413,away
2025_9_Broncos_Texans,-107.0,-116.0,-135.0,112.0,11,11,11,11,away,home,-116.0,-135.0,-107.0,112.0,0.020128824476650653,0.10276997189883585,0.0826411474221852,1.0,-28.0,228.0,0.05755987254599659,-0.06533892382948991,home
2025_9_Cardinals_Cowboys,-155.0,130.0,-170.0,145.0,11,11,11,11,home,home,-155.0,-170.0,130.0,145.0,0.17306052855924975,0.2214663643235072,0.04840583576425744,0.0,-15.0,15.0,0.02178649237472774,-0.026619343389529704,home
2025_9_Chargers_Titans,400.0,-550.0,410.0,-590.0,11,11,11,11,away,away,-550.0,-590.0,400.0,410.0,0.6461538461538461,0.658994032395567,0.012840186241720897,0.0,10.0,-40.0,-0.003921568627450994,0.00891861761426982,away
2025_9_Chiefs_Bills,100.0,-124.0,110.0,-132.0,11,11,11,11,away,away,-124.0,-132.0,100.0,110.0,0.0535714285714286,0.09277504105090317,0.03920361247947457,0.0,10.0,-8.0,-0.023809523809523836,0.015394088669950734,away
2025_9_Colts_Steelers,130.0,-160.0,145.0,-175.0,11,11,11,11,away,away,-160.0,-175.0,130.0,145.0,0.18060200668896326,0.2282003710575139,0.04759836436855064,0.0,15.0,-15.0,-0.026619343389529704,0.020979020979020935,away
2025_9_Falcons_Patriots,-245.0,200.0,-245.0,200.0,11,11,11,11,home,home,-245.0,-245.0,200.0,200.0,0.3768115942028986,0.3768115942028986,0.0,0.0,0.0,0.0,0.0,0.0,none_or_unclear
2025_9_Jaguars_Raiders,145.0,-170.0,120.0,-140.0,11,11,11,11,away,away,-170.0,-140.0,145.0,120.0,0.2214663643235072,0.12878787878787884,-0.09267848553562835,0.0,-25.0,30.0,0.04638218923933207,-0.04629629629629628,home
2025_9_Panthers_Packers,-800.0,525.0,-1000.0,624.0,11,11,11,11,home,home,-800.0,-1000.0,525.0,624.0,0.7288888888888888,0.7709693621295831,0.042080473240694305,0.0,-200.0,99.0,0.02020202020202022,-0.02187845303867403,home
