game_id,Season,Week,game_date,away_team,home_team,side,closing_odds,model_prob_raw,model_prob_adj,implied_prob,edge_raw,edge,actual_win,profit,books_used
2024_16_Buccaneers_Cowboys,2024,16,2024-12-22,Buccaneers,Cowboys,home,170.0,0.2838808789706427,0.3184766755305337,0.37037037037037035,-0.08648949139972767,-0.051893694839836635,1,1.7,10
2025_14_Titans_Browns,2025,14,2025-12-07,Titans,Browns,away,165.0,0.2899754819537018,0.3249286853986362,0.37735849056603776,-0.08738300861233594,-0.05242980516740159,0,-1.0,11
2024_2_Giants_Commanders,2024,2,2024-09-15,Giants,Commanders,away,103.0,0.404909059672153,0.4399897707786613,0.49261083743842365,-0.08770177776627064,-0.05262106665976235,0,-1.0,10
2025_13_Rams_Panthers,2025,13,2025-11-30,Rams,Panthers,away,-600.0,0.768937173204692,0.804219446779958,0.8571428571428571,-0.08820568393816508,-0.05292341036289905,0,-1.0,11
2025_3_Texans_Jaguars,2025,3,2025-09-21,Texans,Jaguars,away,105.0,0.3993461350212626,0.43472963223226974,0.4878048780487805,-0.08845874302751788,-0.05307524581651074,0,-1.0,11
2025_6_Titans_Raiders,2025,6,2025-10-12,Titans,Raiders,away,161.0,0.294446140322704,0.3299243891744653,0.3831417624521073,-0.0886956221294033,-0.05321737327764198,0,-1.0,11
2025_13_49ers_Browns,2025,13,2025-11-30,49ers,Browns,home,210.0,0.233816867105164,0.2693223783276145,0.3225806451612903,-0.08876377805612631,-0.053258266833675794,0,-1.0,11
2025_15_Packers_Broncos,2025,15,2025-12-14,Packers,Broncos,away,-117.0,0.4503931124043251,0.485904070207572,0.5391705069124424,-0.08877739450811728,-0.05326643670487041,0,-1.0,11
2025_1_Vikings_Bears,2025,1,2025-09-08,Vikings,Bears,away,-122.0,0.4607166858923142,0.49624983135520834,0.5495495495495496,-0.08883286365723542,-0.05329971819434126,1,0.819672131147541,11
2024_14_Jaguars_Titans,2024,14,2024-12-08,Jaguars,Titans,away,141.0,0.3260592408557199,0.3616106482478718,0.4149377593360996,-0.0888785184803797,-0.0533271110882278,1,1.41,10
2024_11_Falcons_Broncos,2024,11,2024-11-17,Falcons,Broncos,away,110.0,0.387080385632493,0.42272442185568626,0.47619047619047616,-0.08911009055798319,-0.0534660543347899,0,-1.0,10
2024_1_Vikings_Giants,2024,1,2024-09-08,Vikings,Giants,away,-119.0,0.4539742863921515,0.48973617000880687,0.54337899543379,-0.0894047090416385,-0.05364282542498311,1,0.8403361344537815,10
2024_19_Commanders_Buccaneers,2024,19,2025-01-12,Commanders,Buccaneers,away,135.5,0.3350308986569592,0.37086991923663837,0.42462845010615713,-0.08959755144919795,-0.05375853086951876,1,1.355,10
2025_2_Bears_Lions,2025,2,2025-09-14,Bears,Lions,away,230.0,0.2130245107809246,0.24902682768067597,0.30303030303030304,-0.09000579224937844,-0.05400347534962707,0,-1.0,11
2024_17_Colts_Giants,2024,17,2024-12-29,Colts,Giants,away,-380.0,0.7013947243440021,0.737503501273068,0.7916666666666666,-0.09027194232266456,-0.05416316539359867,0,-1.0,10
2024_18_Panthers_Falcons,2024,18,2025-01-05,Panthers,Falcons,home,-400.0,0.7090622102613238,0.7454373261567944,0.8,-0.09093778973867628,-0.05456267384320568,0,-1.0,10
2024_10_Bengals_Ravens,2024,10,2024-11-07,Bengals,Ravens,away,220.0,0.2210757318773212,0.2576454391263927,0.3125,-0.09142426812267879,-0.054854560873607294,0,-1.0,10
2025_16_Patriots_Ravens,2025,16,2025-12-21,Patriots,Ravens,home,-180.0,0.5513387096566682,0.5879460829368581,0.6428571428571429,-0.0915184332004747,-0.05491105992028478,0,-1.0,11
2024_21_Commanders_Eagles,2024,21,2025-01-26,Commanders,Eagles,away,230.0,0.2113697123662779,0.24803394863188796,0.30303030303030304,-0.09166059066402513,-0.054996354398415076,0,-1.0,10
2025_12_Falcons_Saints,2025,12,2025-11-23,Falcons,Saints,home,-127.0,0.4677062237909155,0.5044122805300559,0.5594713656387665,-0.09176514184785106,-0.055059085108710604,0,-1.0,11
2025_4_Browns_Lions,2025,4,2025-09-28,Browns,Lions,home,-550.0,0.7542773457553603,0.7910279459147547,0.8461538461538461,-0.09187650039848583,-0.055125900239091474,1,0.18181818181818182,11
2025_2_Panthers_Cardinals,2025,2,2025-09-14,Panthers,Cardinals,away,260.0,0.1856029740792898,0.222472895558685,0.2777777777777778,-0.09217480369848799,-0.0553048822190928,0,-1.0,11
2024_17_Broncos_Bengals,2024,17,2024-12-28,Broncos,Bengals,away,154.0,0.3015142470839305,0.33838886321098827,0.3937007874015748,-0.09218654031764434,-0.05531192419058656,0,-1.0,10
2025_17_Cowboys_Commanders,2025,17,2025-12-25,Cowboys,Commanders,away,-470.0,0.7321249716725909,0.7690995444070634,0.8245614035087719,-0.092436431836181,-0.05546185910170853,0,-1.0,11
2025_7_Raiders_Chiefs,2025,7,2025-10-19,Raiders,Chiefs,home,-950.0,0.8114183662058246,0.8487557816282567,0.9047619047619048,-0.09334353855608013,-0.056006123133648056,1,0.10526315789473684,11
2024_16_Browns_Bengals,2024,16,2024-12-22,Browns,Bengals,home,-500.0,0.7389501403441507,0.7767034175398237,0.8333333333333334,-0.09438319298918263,-0.05662991579350962,1,0.2,10
2025_1_49ers_Seahawks,2025,1,2025-09-07,49ers,Seahawks,home,108.0,0.3862413395945312,0.42405249606441103,0.4807692307692308,-0.09452789117469956,-0.05671673470481975,0,-1.0,11
