Season,Week,game_date,away_team,home_team,side,odds,model_prob,implied_prob,edge,pred_home_margin,pred_total
2017,Week 3,2017-09-24,Seahawks,Titans,home,-110,0.9046758383906028,0.5238095238095238,0.380866314581079,9.39942277382349,60.63578717211794
2019,Week 8,2019-10-27,Browns,Patriots,home,-110,0.9042925762738184,0.5238095238095238,0.3804830524642946,11.518926224129922,39.84731173959506
2020,Week 13,2020-12-06,Bengals,Dolphins,home,-110,0.9037613649374068,0.5238095238095238,0.3799518411278829,12.33416969366642,29.761094029003747
2020,Week 4,2020-10-04,Jaguars,Bengals,home,-110,0.903264234748902,0.5238095238095238,0.3794547109393782,8.029841991866551,58.25981992791136
2021,Week 3,2021-09-26,Seahawks,Vikings,home,-110,0.9031446692187208,0.5238095238095238,0.379335145409197,7.826116266518669,48.926060680547565
2017,Week 16,2017-12-24,Jaguars,49ers,home,-110,0.90243059544622,0.5238095238095238,0.3786210716366961,12.494865241205645,72.92304471885832
2018,Divisional Playoffs,2019-01-13,Eagles,Saints,home,-110,0.9023867626066248,0.5238095238095238,0.3785772387971009,11.629224204833488,36.842063278458255
2020,Week 11,2020-11-22,Packers,Colts,home,-110,0.902049013199901,0.5238095238095238,0.3782394893903772,6.584953271777814,67.57097584479295
2017,Week 14,2017-12-11,Patriots,Dolphins,home,-110,0.9015483651635968,0.5238095238095238,0.377738841354073,8.998231256542512,48.29855601631148
2020,Week 1,2020-09-13,Buccaneers,Saints,home,-110,0.9005700942882245,0.5238095238095238,0.3767605704787007,6.362919640043576,56.67299973195684
2017,Week 17,2017-12-31,Jets,Patriots,home,-110,0.8987881839196212,0.5238095238095238,0.3749786601100974,12.733330525997724,32.039168044231616
2018,Week 9,2018-11-04,Packers,Patriots,home,-110,0.8981407234159137,0.5238095238095238,0.3743311996063898,9.507109254553122,50.95082108804718
2018,Week 2,2018-09-16,Lions,49ers,home,-110,0.8970843588597845,0.5238095238095238,0.3732748350502607,4.888197462832114,59.93746063167779
2020,Week 15,2020-12-20,Patriots,Dolphins,home,-110,0.8967586892274392,0.5238095238095238,0.3729491654179153,10.52310935891746,36.84622409792392
2018,Week 3,2018-09-23,Patriots,Lions,home,-110,0.8948022122103653,0.5238095238095238,0.3709926884008414,12.90693872545094,36.29799840723038
2019,Week 8,2019-10-24,,Vikings,home,-110,0.8943769746131774,0.5238095238095238,0.3705674508036536,13.799699557255678,35.12459004047424
2019,Divisional Playoffs,2020-01-12,Seahawks,Packers,home,-110,0.8940133779868834,0.5238095238095238,0.3702038541773595,6.300369160792733,51.08342111519372
2018,Divisional Playoffs,2019-01-13,Chargers,Patriots,home,-110,0.893888401478494,0.5238095238095238,0.3700788776689702,13.150749575815254,69.48395475975482
2018,Week 10,2018-11-11,Cardinals,Chiefs,home,-110,0.8935501428010036,0.5238095238095238,0.3697406189914798,11.298223772893229,40.58402711742431
2017,Week 3,2017-09-24,Steelers,Bears,home,-110,0.8935376573308883,0.5238095238095238,0.3697281335213644,9.101494359112392,40.78426040934438
2017,Week 7,2017-10-22,Buccaneers,Bills,home,-110,0.8928671337200875,0.5238095238095238,0.3690576099105637,6.832433720511668,57.40008589240356
2020,Week 5,2020-10-11,Jaguars,Texans,home,-110,0.8919017607554929,0.5238095238095238,0.368092236945969,12.153451230660584,45.49121375834421
2020,Week 1,2020-09-13,Colts,Jaguars,home,-110,0.8918949627506191,0.5238095238095238,0.3680854389410952,8.563457684759605,47.755823634232186
2017,Week 10,2017-11-12,Bengals,Titans,home,-110,0.8915888733552103,0.5238095238095238,0.3677793495456865,7.529739223208323,44.55251654977937
2020,Week 16,2020-12-27,Eagles,Cowboys,home,-110,0.8910839585187037,0.5238095238095238,0.3672744347091798,12.684971184236726,55.98844867987882
2020,Week 10,2020-11-15,Seahawks,Rams,home,-110,0.891053922940777,0.5238095238095238,0.3672443991312532,6.939252111017836,41.07363058220763
2020,Week 15,2020-12-20,Texans,Colts,home,-110,0.89098960979371,0.5238095238095238,0.3671800859841861,11.631024718890624,48.14979438642714
2019,Week 17,2019-12-29,Cardinals,Rams,home,-110,0.8897027767362041,0.5238095238095238,0.3658932529266803,9.917155129859438,59.45128517933517
2017,Week 17,2017-12-31,,Giants,home,-110,0.8894931230842308,0.5238095238095238,0.3656835992747069,11.882315841164331,32.22065667339196
2018,Week 15,2018-12-16,Cardinals,Falcons,home,-110,0.8890006963801421,0.5238095238095238,0.3651911725706183,17.825141515234268,56.07648490418898
2017,Week 14,2017-12-10,Jets,Broncos,home,-110,0.8873587642205076,0.5238095238095238,0.3635492404109838,22.259637159092406,23.35253107990937
2021,Week 5,2021-10-10,Lions,Vikings,home,-110,0.8857390806997927,0.5238095238095238,0.3619295568902688,5.567622724290352,34.062006920680886
2019,Week 1,2019-09-09,Broncos,Raiders,home,-110,0.8845484111476756,0.5238095238095238,0.3607388873381517,8.622344804278383,40.95046228206194
2017,Week 7,2017-10-22,Panthers,Bears,home,-110,0.8840795473983357,0.5238095238095238,0.3602700235888119,12.358265064850013,21.60608780579848
