game_id,Season,week_num,Date,AwayTeam,HomeTeam,home_score,away_score,margin,total_points,home_win,away_win,PostSeason
2025_13_Bills_Steelers,2025,13,11/30,Bills,Steelers,0.0,0.0,0.0,0.0,0,0,0
2025_13_Broncos_Commanders,2025,13,11/30,Broncos,Commanders,0.0,0.0,0.0,0.0,0,0,0
2025_13_Giants_Patriots,2025,13,12/01,Giants,Patriots,0.0,0.0,0.0,0.0,0,0,0
2025_14_Cowboys_Lions,2025,14,12/04,Cowboys,Lions,0.0,0.0,0.0,0.0,0,0,0
2025_14_Seahawks_Falcons,2025,14,12/07,Seahawks,Falcons,0.0,0.0,0.0,0.0,0,0,0
2025_14_Steelers_Ravens,2025,14,12/07,Steelers,Ravens,0.0,0.0,0.0,0.0,0,0,0
2025_14_Titans_Browns,2025,14,12/07,Titans,Browns,0.0,0.0,0.0,0.0,0,0,0
2025_14_Bears_Packers,2025,14,12/07,Bears,Packers,0.0,0.0,0.0,0.0,0,0,0
2025_14_Colts_Jaguars,2025,14,12/07,Colts,Jaguars,0.0,0.0,0.0,0.0,0,0,0
2025_14_Commanders_Vikings,2025,14,12/07,Commanders,Vikings,0.0,0.0,0.0,0.0,0,0,0
2025_14_Dolphins_Jets,2025,14,12/07,Dolphins,Jets,0.0,0.0,0.0,0.0,0,0,0
2025_14_Saints_Buccaneers,2025,14,12/07,Saints,Buccaneers,0.0,0.0,0.0,0.0,0,0,0
2025_14_Broncos_Raiders,2025,14,12/07,Broncos,Raiders,0.0,0.0,0.0,0.0,0,0,0
2025_14_Rams_Cardinals,2025,14,12/07,Rams,Cardinals,0.0,0.0,0.0,0.0,0,0,0
2025_14_Bengals_Bills,2025,14,12/07,Bengals,Bills,0.0,0.0,0.0,0.0,0,0,0
2025_14_Texans_Chiefs,2025,14,12/07,Texans,Chiefs,0.0,0.0,0.0,0.0,0,0,0
2025_14_Eagles_Chargers,2025,14,12/08,Eagles,Chargers,0.0,0.0,0.0,0.0,0,0,0
2025_15_Falcons_Buccaneers,2025,15,12/11,Falcons,Buccaneers,0.0,0.0,0.0,0.0,0,0,0
2025_15_Browns_Bears,2025,15,12/14,Browns,Bears,0.0,0.0,0.0,0.0,0,0,0
2025_15_Ravens_Bengals,2025,15,12/14,Ravens,Bengals,0.0,0.0,0.0,0.0,0,0,0
2025_15_Cardinals_Texans,2025,15,12/14,Cardinals,Texans,0.0,0.0,0.0,0.0,0,0,0
2025_15_Jets_Jaguars,2025,15,12/14,Jets,Jaguars,0.0,0.0,0.0,0.0,0,0,0
2025_15_Chargers_Chiefs,2025,15,12/14,Chargers,Chiefs,0.0,0.0,0.0,0.0,0,0,0
2025_15_Bills_Patriots,2025,15,12/14,Bills,Patriots,0.0,0.0,0.0,0.0,0,0,0
2025_15_Commanders_Giants,2025,15,12/14,Commanders,Giants,0.0,0.0,0.0,0.0,0,0,0
2025_15_Raiders_Eagles,2025,15,12/14,Raiders,Eagles,0.0,0.0,0.0,0.0,0,0,0
2025_15_Packers_Broncos,2025,15,12/14,Packers,Broncos,0.0,0.0,0.0,0.0,0,0,0
2025_15_Lions_Rams,2025,15,12/14,Lions,Rams,0.0,0.0,0.0,0.0,0,0,0
2025_15_Panthers_Saints,2025,15,12/14,Panthers,Saints,0.0,0.0,0.0,0.0,0,0,0
2025_15_Colts_Seahawks,2025,15,12/14,Colts,Seahawks,0.0,0.0,0.0,0.0,0,0,0
2025_15_Titans_49ers,2025,15,12/14,Titans,49ers,0.0,0.0,0.0,0.0,0,0,0
2025_15_Vikings_Cowboys,2025,15,12/14,Vikings,Cowboys,0.0,0.0,0.0,0.0,0,0,0
2025_15_Dolphins_Steelers,2025,15,12/15,Dolphins,Steelers,0.0,0.0,0.0,0.0,0,0,0
2025_16_Rams_Seahawks,2025,16,12/18,Rams,Seahawks,0.0,0.0,0.0,0.0,0,0,0
2025_16_Patriots_Ravens,2025,16,12/21,Patriots,Ravens,0.0,0.0,0.0,0.0,0,0,0
2025_16_Buccaneers_Panthers,2025,16,12/21,Buccaneers,Panthers,0.0,0.0,0.0,0.0,0,0,0
2025_16_Bills_Browns,2025,16,12/21,Bills,Browns,0.0,0.0,0.0,0.0,0,0,0
2025_16_Chargers_Cowboys,2025,16,12/21,Chargers,Cowboys,0.0,0.0,0.0,0.0,0,0,0
2025_16_Jets_Saints,2025,16,12/21,Jets,Saints,0.0,0.0,0.0,0.0,0,0,0
2025_16_Vikings_Giants,2025,16,12/21,Vikings,Giants,0.0,0.0,0.0,0.0,0,0,0
2025_16_Chiefs_Titans,2025,16,12/21,Chiefs,Titans,0.0,0.0,0.0,0.0,0,0,0
2025_16_Falcons_Cardinals,2025,16,12/21,Falcons,Cardinals,0.0,0.0,0.0,0.0,0,0,0
2025_16_Jaguars_Broncos,2025,16,12/21,Jaguars,Broncos,0.0,0.0,0.0,0.0,0,0,0
2025_16_Steelers_Lions,2025,16,12/21,Steelers,Lions,0.0,0.0,0.0,0.0,0,0,0
2025_16_Raiders_Texans,2025,16,12/21,Raiders,Texans,0.0,0.0,0.0,0.0,0,0,0
2025_16_Bengals_Dolphins,2025,16,12/21,Bengals,Dolphins,0.0,0.0,0.0,0.0,0,0,0
2025_16_49ers_Colts,2025,16,12/22,49ers,Colts,0.0,0.0,0.0,0.0,0,0,0
2025_16_Packers_Bears,2025,16,TBD,Packers,Bears,0.0,0.0,0.0,0.0,0,0,0
2025_16_Eagles_Commanders,2025,16,TBD,Eagles,Commanders,0.0,0.0,0.0,0.0,0,0,0
2025_17_Cowboys_Commanders,2025,17,12/25,Cowboys,Commanders,0.0,0.0,0.0,0.0,0,0,0
2025_17_Lions_Vikings,2025,17,12/25,Lions,Vikings,0.0,0.0,0.0,0.0,0,0,0
2025_17_Broncos_Chiefs,2025,17,12/25,Broncos,Chiefs,0.0,0.0,0.0,0.0,0,0,0
