season,shrink_factor,edge_threshold,bets,profit_units,roi,win_rate,avg_raw_model_prob,avg_model_prob,avg_implied_prob,avg_edge,avg_odds
2024,0.8,0.1,7,2.3864859602377537,0.34092656574825053,0.7142857142857143,0.6914628398525172,0.6531702718820138,0.5337825950076648,0.11938767687434904,-30.571428571428573
2024,0.8,0.12,3,1.1349999999999998,0.37833333333333324,0.6666666666666666,0.6807194398594022,0.6445755518875218,0.5108795254358549,0.1336960264516669,27.833333333333332
2025,0.8,0.05,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6222235953669921,0.5349396957980285,0.08728389956896367,-59.32142857142857
2025,0.8,0.08,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6327308312921507,0.531224613405873,0.10150621788627771,-26.055555555555557
2025,0.8,0.09,7,-4.965,-0.7092857142857143,0.14285714285714285,0.664757376110389,0.6318059008883112,0.52632104672921,0.10548485415910115,-26.642857142857142
2025,0.8,0.1,3,-3.0,-1.0,0.0,0.6633491109426529,0.6306792887541223,0.5110864745011087,0.11959281425301367,28.333333333333332
2025,0.8,0.12,1,-1.0,-1.0,0.0,0.6537566133174851,0.6230052906539881,0.5,0.12300529065398813,100.0
all,0.85,0.05,31,7.513567042891214,0.24237313041584563,0.6774193548387096,0.6623167567773401,0.637969243260739,0.5430103017206731,0.09495894154006604,-75.14516129032258
all,0.85,0.08,19,-0.5218859831341895,-0.02746768332285208,0.5263157894736842,0.6817354277393688,0.6544751135784634,0.5400160202462427,0.11445909333222073,-45.55263157894737
all,0.85,0.09,18,0.47811401686581023,0.026561889825878347,0.5555555555555556,0.6824176647515271,0.655055015038798,0.5389351677244357,0.11611984731436215,-41.02777777777778
all,0.85,0.1,13,-1.9468473730955798,-0.14975749023812152,0.46153846153846156,0.6921500447204754,0.6633275380124039,0.5397792214466471,0.12354831656575681,-42.23076923076923
all,0.85,0.12,7,-1.1507142857142858,-0.16438775510204082,0.42857142857142855,0.6821288188890949,0.6548094960557308,0.5213187618777463,0.13349073417798452,4.071428571428571
2024,0.85,0.05,17,8.470585255248412,0.4982697208969654,0.8235294117647058,0.6701709730103048,0.644645327058759,0.5496566830687333,0.09498864399002578,-88.17647058823529
2024,0.85,0.08,10,2.7674383411901347,0.2767438341190135,0.7,0.6959751275011309,0.6665788583759612,0.5479282864025753,0.11865057197338595,-63.1
2024,0.85,0.09,9,3.767438341190134,0.4186042601322371,0.7777777777777778,0.6989217903878655,0.6690835218296857,0.5466457220429985,0.12243779978668717,-56.0
2024,0.85,0.1,8,3.0531526269044202,0.38164407836305253,0.75,0.6974902328147321,0.6678666978925223,0.5420597706317067,0.1258069272608157,-45.5
2024,0.85,0.12,4,1.8492857142857142,0.46232142857142855,0.75,0.6962135998489267,0.6667815598715877,0.5289929774102246,0.1377885824613632,-14.125
2025,0.85,0.05,14,-0.9570182123571955,-0.06835844373979968,0.5,0.6527794942087403,0.6298625700774292,0.5349396957980285,0.09492287427940067,-59.32142857142857
2025,0.85,0.08,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6410265082479101,0.531224613405873,0.10980189484203712,-26.055555555555557
2025,0.85,0.09,9,-3.2893243243243244,-0.3654804804804805,0.3333333333333333,0.6659135391151884,0.6410265082479101,0.531224613405873,0.10980189484203712,-26.055555555555557
2025,0.85,0.1,5,-5.0,-1.0,0.0,0.683605743769664,0.6560648822042143,0.5361303427505518,0.11993453945366259,-37.0
2025,0.85,0.12,3,-3.0,-1.0,0.0,0.6633491109426529,0.6388467443012549,0.5110864745011087,0.1277602698001463,28.333333333333332
all,0.9,0.05,37,12.078310027863607,0.3264408115638813,0.7297297297297297,0.6582294832731854,0.6424065349458667,0.5471568420210438,0.09524969292482326,-84.4054054054054
all,0.9,0.08,21,1.2800620688138613,0.060955336610183875,0.5714285714285714,0.6761882504182046,0.6585694253763842,0.5386864664419327,0.11988295893445144,-51.785714285714285
all,0.9,0.09,19,-0.5218859831341895,-0.02746768332285208,0.5263157894736842,0.6817354277393688,0.6635618849654318,0.5400160202462427,0.12354586471918919,-45.55263157894737
all,0.9,0.1,17,-0.5218859831341897,-0.030699175478481746,0.5294117647058824,0.6866864679036828,0.6680178211133144,0.5412254717082261,0.12679234940508835,-49.3235294117647
all,0.9,0.12,11,-1.6135140397622463,-0.14668309452384057,0.45454545454545453,0.6879217060284618,0.6691295354256155,0.5328703930228051,0.13625914240281037,-24.90909090909091
2024,0.9,0.05,22,12.32104252593509,0.560047387542504,0.8636363636363636,0.6617944107855257,0.6456149697069731,0.5532870036487674,0.09232796605820588,-97.8409090909091
