game_id,Season,Week,game_date,home_team,away_team,selected_team,selected_team_full,opponent_team,model_prob,p_home_win,p_away_win,true_moneyline,closing_odds,implied_prob,close_prob,edge,actual_win,profit,home_score,away_score,pred_home_margin,pred_total,away_close_price,home_close_price,away_close_prob,home_close_prob,market_prob,model_edge_vs_close,edge_prob_governed,hybrid_score,confidence_score,open_to_mid_prob_move,mid_to_close_prob_move,close_minus_governed_gap,close_to_governed_ratio,clv,beat_close,market_prob_bucket,bet_band
2023_5_Saints_Patriots,2023,5,2023-10-08,New England Patriots,New Orleans Saints,New England Patriots,New England Patriots,New Orleans Saints,0.567968437752165,0.567968437752165,0.4320315622478345,-131.46457050430723,-125.0,0.5555555555555556,0.5555555555555556,0.0124128821966094,0,-1.0,0.0,34.0,3.318387472907689,45.83530949343302,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.5555555555555556,0.0124128821966094,0.0124128821966094,0.0124128821966094,0.0124128821966094,0.0,0.0,0.0,1.0,0.0124128821966094,1,0.50-0.60,Balanced
2023_8_Saints_Colts,2023,8,2023-10-29,Indianapolis Colts,New Orleans Saints,Indianapolis Colts,Indianapolis Colts,New Orleans Saints,0.5023441114944116,0.5023441114944116,0.4976558885055884,-100.94206119069574,112.0,0.4716981132075472,0.4716981132075472,0.0306459982868644,0,-1.0,27.0,38.0,-1.2352371389996826,45.92485257138608,-135.0,112.0,0.574468085106383,0.4716981132075472,0.4716981132075472,0.0306459982868644,0.0306459982868644,0.0306459982868644,0.0306459982868644,0.0,0.0,0.0,1.0,0.0306459982868644,1,0.40-0.50,Balanced
2023_12_Jaguars_Texans,2023,12,2023-11-26,Houston Texans,Jacksonville Jaguars,Houston Texans,Houston Texans,Jacksonville Jaguars,0.5358609841680801,0.5358609841680801,0.4641390158319198,-115.45269108816596,105.0,0.4878048780487805,0.4878048780487805,0.0480561061192996,0,-1.0,21.0,24.0,2.5378188293114867,43.94330392644469,-125.0,105.0,0.5555555555555556,0.4878048780487805,0.4878048780487805,0.0480561061192996,0.0480561061192996,0.0480561061192996,0.0480561061192996,0.0,0.0,0.0,1.0,0.0480561061192996,1,0.40-0.50,Balanced
2023_13_Falcons_Jets,2023,13,2023-12-03,New York Jets,Atlanta Falcons,New York Jets,New York Jets,Atlanta Falcons,0.5190302015455592,0.5190302015455592,0.4809697984544407,-107.91326258185497,114.0,0.4672897196261682,0.4672897196261682,0.051740481919391,0,-1.0,8.0,13.0,2.006450062124628,43.25065063312213,-135.0,114.0,0.574468085106383,0.4672897196261682,0.4672897196261682,0.051740481919391,0.051740481919391,0.051740481919391,0.05174048191939099,0.0,0.0,0.0,1.0,0.051740481919391,1,0.40-0.50,Balanced
2023_16_Jaguars_Buccaneers,2023,16,2023-12-24,Tampa Bay Buccaneers,Jacksonville Jaguars,Tampa Bay Buccaneers,Tampa Bay Buccaneers,Jacksonville Jaguars,0.5584515407320145,0.5584515407320145,0.4415484592679851,-126.47570816073848,-103.5,0.5085995085995086,0.5085995085995086,0.0498520321325058,1,0.966183574879227,30.0,12.0,3.279919820071706,46.27289073853896,-116.5,-103.5,0.5381062355658198,0.5085995085995086,0.5085995085995086,0.0498520321325058,0.0498520321325058,0.0498520321325058,0.049852032132505796,0.0,0.0,0.0,1.0,0.0498520321325058,1,0.50-0.60,Balanced
2023_18_Bills_Dolphins,2023,18,2024-01-07,Miami Dolphins,Buffalo Bills,Buffalo Bills,Buffalo Bills,Miami Dolphins,0.5344364823362288,0.4655635176637712,0.5344364823362288,-114.7934625586787,103.0,0.4926108374384236,0.4926108374384236,0.0418256448978051,1,1.03,14.0,21.0,-0.9676069139336256,44.200437655364695,103.0,-122.0,0.4926108374384236,0.5495495495495496,0.4926108374384236,0.0418256448978051,0.0418256448978051,0.0418256448978051,0.0418256448978051,0.0,0.0,0.0,1.0,0.0418256448978051,1,0.40-0.50,Balanced
2024_1_Vikings_Giants,2024,1,2024-09-08,New York Giants,Minnesota Vikings,New York Giants,New York Giants,Minnesota Vikings,0.5460257136078486,0.5460257136078486,0.4539742863921516,-120.2767931962079,-102.0,0.504950495049505,0.504950495049505,0.0410752185583436,0,-1.0,6.0,28.0,0.1816437181472472,42.81885023879904,-119.0,-102.0,0.54337899543379,0.504950495049505,0.504950495049505,0.0410752185583436,0.0410752185583436,0.0410752185583436,0.0410752185583436,0.0,0.0,0.0,1.0,0.0410752185583436,1,0.50-0.60,Balanced
2024_2_Giants_Commanders,2024,2,2024-09-15,Washington Commanders,New York Giants,Washington Commanders,Washington Commanders,New York Giants,0.5950909403278472,0.5950909403278472,0.404909059672153,-146.96903566684355,-123.5,0.5525727069351231,0.5525727069351231,0.042518233392724,1,0.8097165991902834,21.0,18.0,0.1101161182705153,45.02285294904016,103.0,-123.5,0.4926108374384236,0.5525727069351231,0.5525727069351231,0.042518233392724,0.042518233392724,0.042518233392724,0.042518233392723995,0.0,0.0,0.0,1.0,0.042518233392724,1,0.50-0.60,Balanced
2024_2_Rams_Cardinals,2024,2,2024-09-15,Arizona Cardinals,Los Angeles Rams,Los Angeles Rams,Los Angeles Rams,Arizona Cardinals,0.5389659070908679,0.4610340929091323,0.5389659070908679,-116.90369874600484,-110.0,0.5238095238095238,0.5238095238095238,0.015156383281344,0,-1.0,41.0,10.0,-1.1909301843456377,46.09881742410873,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.015156383281344,0.015156383281344,0.015156383281344,0.015156383281344,0.0,0.0,0.0,1.0,0.015156383281344,1,0.50-0.60,Balanced
2024_5_Bills_Texans,2024,5,2024-10-06,Houston Texans,Buffalo Bills,Houston Texans,Houston Texans,Buffalo Bills,0.577782210509962,0.577782210509962,0.4222177894900378,-136.84459179415853,-120.0,0.5454545454545454,0.5454545454545454,0.0323276650554166,1,0.8333333333333334,23.0,20.0,-0.0077691898779822,47.39559214547391,100.0,-120.0,0.5,0.5454545454545454,0.5454545454545454,0.0323276650554166,0.0323276650554166,0.0323276650554166,0.03232766505541659,0.0,0.0,0.0,1.0,0.0323276650554166,1,0.50-0.60,Balanced
2024_7_Lions_Vikings,2024,7,2024-10-20,Minnesota Vikings,Detroit Lions,Detroit Lions,Detroit Lions,Minnesota Vikings,0.5200731318105994,0.4799268681894004,0.5200731318105994,-108.36507940733908,105.0,0.4878048780487805,0.4878048780487805,0.0322682537618189,1,1.05,29.0,31.0,2.449813656175972,53.65489838641223,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.4878048780487805,0.0322682537618189,0.0322682537618189,0.0322682537618189,0.0322682537618189,0.0,0.0,0.0,1.0,0.0322682537618189,1,0.40-0.50,Balanced
2024_9_Bears_Cardinals,2024,9,2024-11-03,Arizona Cardinals,Chicago Bears,Arizona Cardinals,Arizona Cardinals,Chicago Bears,0.6041181893732555,0.6041181893732555,0.3958818106267445,-152.60064321137648,-130.0,0.5652173913043478,0.5652173913043478,0.0389007980689076,1,0.7692307692307693,29.0,9.0,2.392176564126224,44.911791488947365,110.0,-130.0,0.4761904761904761,0.5652173913043478,0.5652173913043478,0.0389007980689076,0.0389007980689076,0.0389007980689076,0.0389007980689076,0.0,0.0,0.0,1.0,0.0389007980689076,1,0.50-0.60,Balanced
2024_9_Lions_Packers,2024,9,2024-11-03,Green Bay Packers,Detroit Lions,Detroit Lions,Detroit Lions,Green Bay Packers,0.6104349787068882,0.3895650212931114,0.6104349787068882,-156.69655778658634,-148.0,0.5967741935483871,0.5967741935483871,0.0136607851585011,1,0.6756756756756757,14.0,24.0,-3.4056987799409817,49.29411191544472,-148.0,125.0,0.5967741935483871,0.4444444444444444,0.5967741935483871,0.0136607851585011,0.0136607851585011,0.0136607851585011,0.0136607851585011,0.0,0.0,0.0,1.0,0.0136607851585011,1,0.50-0.60,Balanced
